call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002008230502175845,0.07481376943385959,1385256.1630119667,331.64130594593615,331.6419401239894,331.6379236629851,331.63855784103845,2,sparse_direct,not_applicable,3.097720492815727e-16,3.872150616019659e-16,0.005612100008875132,0.005456599988974631,0.015625,0.0,0.00011705820845135878,0.00011688975479264523,3.4171033820854357,3.4220278818239787,0.00492449973854292,7.744301232039318e-17,1.5488602464078636e-16,7.744301232039318e-17,True,0.012062800000421703,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002008230502175845,0.07481376943385959,1385256.1630119667,331.64130594593615,331.6419401239894,331.6379236629851,331.63855784103845,2,sparse_direct,not_applicable,3.097720492815727e-16,3.872150616019659e-16,0.005448099997011013,0.004397600001539104,0.0,0.015625,0.00011705820845135878,0.00011688975479264523,3.4171033820854357,3.4220278818239787,0.00492449973854292,7.744301232039318e-17,1.5488602464078636e-16,7.744301232039318e-17,True,0.010580199988908134,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010041152510879225,0.07481376943385959,1385256.14791109,331.64061891971176,331.6409360087383,331.63892777823617,331.63924486726285,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.005263999992166646,0.004872799996519461,0.0,0.0,0.00011701606768091464,0.00011693184085913348,3.4183339769264878,3.4207962267683416,0.0024622498418538363,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.011054000002332032,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.00401646100435169,0.07481376943385959,1385256.2227499555,331.642679998385,331.6439483544916,331.6359154324829,331.6371837885896,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0052506000065477565,0.0030629000102635473,0.015625,0.0,0.00011714254474925216,0.00011680563731061826,3.414643252425619,3.4244922523412993,0.009848999915680334,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.008981299994047731,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002008230502175845,0.037406884716929795,692628.0815059834,331.6379236629851,331.63855784103845,331.64130594593615,331.6419401239894,2,sparse_direct,not_applicable,3.872150616019659e-16,3.097720492815727e-16,0.0053293999953893945,0.0046830000064801425,0.0,0.015625,0.00011688975479264523,0.00011705820845135878,3.4220278818239787,3.4171033820854357,0.00492449973854292,1.5488602464078636e-16,7.744301232039318e-17,7.744301232039318e-17,True,0.010731000002124347,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.002008230502175845,0.14912599030805507,3816685.892601135,331.6380655659738,331.64194012398946,331.63792366298514,331.64179822100067,2,sparse_direct,not_applicable,3.872150616019659e-16,5.421010862427522e-16,0.005295400012983009,0.005148299998836592,0.0,0.0,0.00011697748018205918,0.00011697041274417178,3.419461586772562,3.4196681931425483,0.0002066063699861509,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.011318899996695109,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002008230502175845,0.20031435886806426,4434059.41677092,331.6392925252181,331.64194012398946,331.63792366298514,331.6405712617564,2,sparse_direct,not_applicable,3.872150616019659e-16,3.872150616019659e-16,0.005521600003703497,0.004278399996110238,0.015625,0.0,0.00011700803983859174,0.00011693986404376102,3.4185685065042133,3.42056152767813,0.0019930211739165316,1.5488602464078636e-16,7.744301232039318e-17,7.744301232039318e-17,True,0.010396800003945827,0.015625,,
8,requalification_step_2h,central_difference,2.0,0.00401646100435169,0.07481376943385959,1385256.2227499555,331.642679998385,331.6439483544916,331.6359154324829,331.6371837885896,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.004767100006574765,0.004505400007474236,0.0,0.0,0.00011714254474925216,0.00011680563731061826,3.414643252425619,3.4244922523412993,0.009848999915680334,0.0,7.744301232039318e-17,7.744301232039318e-17,True,0.009881200006930158,0.0,,
9,requalification_step_1h,central_difference,1.0,0.002008230502175845,0.07481376943385959,1385256.1630119667,331.64130594593615,331.6419401239894,331.6379236629851,331.63855784103845,2,sparse_direct,not_applicable,3.097720492815727e-16,3.872150616019659e-16,0.004723100006231107,0.005238300000200979,0.0,0.0,0.00011705820845135878,0.00011688975479264523,3.4171033820854357,3.4220278818239787,0.00492449973854292,7.744301232039318e-17,1.5488602464078636e-16,7.744301232039318e-17,True,0.010712000002968125,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0010041152510879225,0.07481376943385959,1385256.14791109,331.64061891971176,331.6409360087383,331.63892777823617,331.63924486726285,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.004375300006358884,0.00413000000116881,0.0,0.0,0.00011701606768091464,0.00011693184085913348,3.4183339769264878,3.4207962267683416,0.0024622498418538363,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.009242100000847131,0.0,,
11,requalification_step_0.25h,central_difference,0.25,0.0005020576255439612,0.07481376943385959,1385256.142688081,331.6402754065995,331.6404339511128,331.6394298358617,331.6395883803751,2,sparse_direct,not_applicable,5.421010862427522e-16,6.195440985631454e-16,0.0031691000040154904,0.004650999995646998,0.0,0.0,0.00011699500413700149,0.00011695289072705773,3.418949406861842,3.4201805317793457,0.0012311249175036565,0.0,0.0,0.0,True,0.008369999995920807,0.0,,
