call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002018308208383889,0.07481376943385959,1701658.1899203693,333.30554899181897,333.3061863523058,333.30214973588903,333.3027870963759,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.007446200004778802,0.008417999997618608,0.0,0.015625,0.0002471758990126384,0.00024678605452798773,2.6297062237721027,2.6338603339771947,0.004154110205091932,0.0,0.0,0.0,True,0.017114499991293997,0.03125,,
2,parent_h_half_probe,central_difference,0.5,0.0010091541041919445,0.07481376943385959,1701658.1001036153,333.30485851795817,333.3051771982016,333.30315888999326,333.3034775702367,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.004467100006877445,0.005389099998865277,0.0,0.0,0.000247078378184701,0.0002468834559563206,2.630744158090996,2.6328212130787736,0.002077054987777771,0.0,0.0,0.0,True,0.010634999998728745,0.0,,
3,arpack_matvec,central_difference,1.0,0.002018308208383889,0.07481376943385959,1701658.1899203693,333.30554899181897,333.3061863523058,333.30214973588903,333.3027870963759,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.007093599997460842,0.004263100010575727,0.015625,0.0,0.0002471758990126384,0.00024678605452798773,2.6297062237721027,2.6338603339771947,0.004154110205091932,0.0,0.0,0.0,True,0.012305099997320212,0.015625,,
4,arpack_matvec,central_difference,1.0,0.002018308208383889,0.13562220672227315,25931134.3772035,333.30214973588903,333.30617010106045,333.3021659871343,333.3061863523058,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.006735099988873117,0.004783800002769567,0.015625,0.0,0.0002469798836193383,0.00024698188580079406,2.631793288079376,2.6317719532041495,2.133487522648636e-05,4.64658073922359e-16,3.097720492815727e-16,1.5488602464078636e-16,True,0.012389199997414835,0.015625,,
5,arpack_matvec,central_difference,1.0,0.002018308208383889,0.13866343340270107,14563574.600087794,333.302149735889,333.3061218124345,333.3022142757602,333.30618635230576,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.004613400000380352,0.006515899993246421,0.0,0.015625,0.0002469771023995995,0.00024698471895971946,2.631822924816426,2.6317417641777587,8.11606386674768e-05,0.0,0.0,0.0,True,0.01251349999802187,0.015625,,
6,arpack_matvec,central_difference,1.0,0.002018308208383889,0.1479317118538408,8666503.048802406,333.30214973588903,333.30617969400026,333.30215639419447,333.3061863523058,2,sparse_direct,not_applicable,3.097720492815727e-16,4.64658073922359e-16,0.0033936999971047044,0.004482599993934855,0.0,0.0,0.00024697919369361587,0.00024698256620026563,2.6318006398803857,2.631764703071989,3.5936808396641595e-05,3.097720492815727e-16,1.5488602464078636e-16,4.64658073922359e-16,True,0.008963199987192638,0.0,,
7,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3215597558381519,47758039.687834404,333.302149735889,333.30617895351435,333.3021571346804,333.30618635230576,2,sparse_direct,not_applicable,4.64658073922359e-16,7.744301232039318e-16,0.00607980000495445,0.004560099987429567,0.0,0.0,0.0002469807508725375,0.00024698104613167103,2.6317840467472453,2.631780900520887,3.1462263581083505e-06,0.0,3.097720492815727e-16,3.097720492815727e-16,True,0.012002499992377125,0.0,,
8,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2640284388163219,95218421.47105703,333.302149735889,333.30618305499416,333.30215303320057,333.30618635230576,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.006509800005005673,0.00745920000190381,0.015625,0.0,0.0002469809036342662,0.00024698088613780766,2.631782418945765,2.6317826053847755,1.8643901045223288e-07,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.01549519998661708,0.015625,,
9,arpack_matvec,central_difference,1.0,0.002018308208383889,0.24286774398791372,59841076.11329165,333.30214973588903,333.3061837001915,333.3021523880033,333.3061863523058,2,sparse_direct,not_applicable,4.64658073922359e-16,3.097720492815727e-16,0.004444300007889979,0.003561899997293949,0.0,0.015625,0.0002469809971765447,0.0002469808024112397,2.631781422177079,2.6317834975598875,2.07538280827535e-06,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.008977000004961155,0.015625,,
10,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3246956508790259,81247854.98843992,333.3021526756827,333.30618635230576,333.302149735889,333.30618341251215,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.005431300000054762,0.00318400000105612,0.0,0.0,0.00024698098281235136,0.0002469808098947732,2.6317815752391356,2.6317834178166883,1.8425775527575183e-06,4.64658073922359e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.009323899997980334,0.0,,
11,arpack_matvec,central_difference,1.0,0.002018308208383889,0.349891699487761,82052099.8544158,333.3021538072331,333.3061863523058,333.30214973588903,333.30618228096176,2,sparse_direct,not_applicable,7.744301232039318e-16,6.195440985631454e-16,0.003895600006217137,0.005339299998013303,0.015625,0.0,0.0002469809590304827,0.0002469808341206388,2.631781828654152,2.6317831596702144,1.3310160622559408e-06,0.0,3.097720492815727e-16,3.097720492815727e-16,True,0.009897700001602061,0.015625,,
12,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3203918308532631,71896583.76864399,333.30216023853285,333.3061863523058,333.30214973588903,333.306175849662,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.004228799996781163,0.006822299998020753,0.0,0.015625,0.0002469809430946889,0.00024698085034206293,2.631781998462932,2.6317829868176603,9.883547282818483e-07,3.097720492815727e-16,3.097720492815727e-16,0.0,True,0.011877000011736527,0.015625,,
13,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3148126249902616,79665480.35416733,333.30216284707865,333.3061863523058,333.30214973588903,333.3061732411162,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.00850670000363607,0.006119199999375269,0.0,0.015625,0.0002469809349473654,0.00024698085578811127,2.6317820852792657,2.631782928785562,8.435062963663142e-07,0.0,0.0,0.0,True,0.016431299998657778,0.015625,,
14,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3141397641066204,71852478.3040583,333.3021705865411,333.3061863523058,333.30214973588903,333.30616550165365,2,sparse_direct,not_applicable,3.097720492815727e-16,7.841104997439809e-16,0.004868900010478683,0.0048745000094641,0.0,0.015625,0.0002469809261406158,0.0002469808674963474,2.6317821791223253,2.6317828040247404,6.249024151472327e-07,1.5488602464078636e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.011323700004140846,0.015625,,
15,arpack_matvec,central_difference,1.0,0.002018308208383889,0.26800412104586907,74376720.92580615,333.30216892342037,333.3061863523058,333.30214973588903,333.30616716477437,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.007617899987963028,0.010172099995543249,0.0,0.015625,0.0002469809135619837,0.00024698087969832167,2.631782313157864,2.6317826740027477,3.6084488375109913e-07,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.01877789999707602,0.015625,,
16,arpack_matvec,central_difference,1.0,0.002018308208383889,0.26807843622468924,62224716.7676659,333.3021502106055,333.30618635230576,333.302149735889,333.30618587758937,2,sparse_direct,not_applicable,7.744301232039318e-16,4.64658073922359e-16,0.009813200013013557,0.011321700003463775,0.0,0.0,0.0002469808738287216,0.00024698092180534196,2.631782736548124,2.631782225318187,5.112299370502171e-07,1.5488602464078636e-16,4.64658073922359e-16,6.195440985631454e-16,True,0.024107500008540228,0.015625,,
17,arpack_matvec,central_difference,1.0,0.002018308208383889,0.22297906473477544,77553727.32809125,333.302149735889,333.30617247518006,333.30216361301467,333.30618635230576,2,sparse_direct,not_applicable,4.64658073922359e-16,6.485852281832928e-16,0.007285800005774945,0.008367600006749853,0.015625,0.0,0.00024698085217519483,0.0002469809331569632,2.6317829672841406,2.6317821043574527,8.629266878834585e-07,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.017191000006278045,0.015625,,
18,arpack_matvec,central_difference,1.0,0.002018308208383889,0.27752618112050637,67482960.65380819,333.30214973588903,333.3061436976067,333.3021923905882,333.3061863523058,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.008043599998927675,0.004996700008632615,0.015625,0.0,0.00024698081756108773,0.00024698097386037374,2.631783336125812,2.631781670629681,1.6654961312312366e-06,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.013887399996747263,0.015625,,
19,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2116875245631743,70647367.72153854,333.302149735889,333.3061274967631,333.30220859143174,333.30618635230576,2,sparse_direct,not_applicable,7.744301232039318e-16,6.195440985631454e-16,0.004912799995508976,0.0047101000091061,0.015625,0.0,0.00024698079230563424,0.00024698099066848295,2.6317836052434265,2.63178149152572,2.1137177066421486e-06,0.0,0.0,0.0,True,0.011025600004359148,0.015625,,
20,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2744653163006359,64063891.26546882,333.302149735889,333.3060977371971,333.30223835099775,333.30618635230576,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.006418799996026792,0.007925199999590404,0.0,0.0,0.0002469807587552765,0.0002469810343684613,2.6317839627501485,2.631781025867316,2.9368828324827234e-06,0.0,3.097720492815727e-16,3.097720492815727e-16,True,0.015596500001265667,0.015625,,
21,arpack_matvec,central_difference,1.0,0.002018308208383889,0.22594748618657765,61861825.64923175,333.30214973588903,333.30609873678304,333.3022373514117,333.3061863523058,2,sparse_direct,not_applicable,6.195440985631454e-16,3.097720492815727e-16,0.0062609000015072525,0.008462999991024844,0.015625,0.0,0.00024698076131482287,0.0002469810269816576,2.631783935476068,2.631781104579637,2.830896431049723e-06,1.5488602464078636e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.015735699998913333,0.015625,,
22,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2050922387719767,52175022.12975425,333.30214973588903,333.3061182528862,333.3022178353086,333.3061863523058,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.006604800000786781,0.006033300000126474,0.015625,0.0,0.00024698080342839087,0.0002469809949880541,2.631783486721306,2.6317814454972095,2.041224096416272e-06,0.0,0.0,0.0,True,0.013704400000278838,0.015625,,
23,arpack_matvec,central_difference,1.0,0.002018308208383889,0.21364686074592767,66822028.43386994,333.30215648905045,333.3061863523058,333.30214973588903,333.3061795991444,2,sparse_direct,not_applicable,7.744301232039318e-16,6.195440985631454e-16,0.00786520000838209,0.008873000013409182,0.0,0.0,0.0002469809085010936,0.0002469808759527029,2.6317823670857616,2.6317827139153707,3.4682960903253957e-07,1.5488602464078636e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.018706200004089624,0.0,,
24,arpack_matvec,central_difference,1.0,0.002018308208383889,0.26104383102399065,45686902.83826405,333.3022486878153,333.3061863523058,333.30214973588903,333.30608740037945,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.007546900000306778,0.009019799996167421,0.0,0.0,0.0002469810526984861,0.00024698074070238885,2.631780830546214,2.63178415511859,3.324572376062207e-06,0.0,4.64658073922359e-16,4.64658073922359e-16,True,0.018072799997753464,0.0,,
25,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2089123472664135,65535540.09841609,333.30228519479846,333.3061863523058,333.30214973588903,333.3060508933964,2,sparse_direct,not_applicable,4.64658073922359e-16,6.195440985631454e-16,0.008357899991096929,0.009875799994915724,0.015625,0.0,0.00024698110026835174,0.00024698068212173317,2.6317803236513124,2.6317847793440965,4.455692784066656e-06,3.097720492815727e-16,1.5488602464078636e-16,1.5488602464078636e-16,True,0.019840400011162274,0.015625,,
26,arpack_matvec,central_difference,1.0,0.002018308208383889,0.2997190792941031,42684479.87589134,333.3023614770941,333.3061863523058,333.30214973588903,333.3059746111006,2,sparse_direct,not_applicable,4.64658073922359e-16,3.097720492815727e-16,0.005372400002670474,0.006288199991104193,0.0,0.0,0.00024698121935761114,0.00024698057348952957,2.6317790546610205,2.631785936911171,6.882250150663793e-06,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.013137199988705106,0.0,,
27,arpack_matvec,central_difference,1.0,0.002018308208383889,0.30613206356631206,73586535.25701717,333.3022977490987,333.3061863523058,333.30214973588903,333.306038339096,2,sparse_direct,not_applicable,6.195440985631454e-16,6.195440985631454e-16,0.009731500002089888,0.0053838999883737415,0.0,0.015625,0.0002469811182731507,0.0002469806694057161,2.631780131795854,2.631784914843852,4.7830479981136875e-06,3.097720492815727e-16,0.0,3.097720492815727e-16,True,0.01738679999834858,0.015625,,
28,arpack_matvec,central_difference,1.0,0.002018308208383889,0.28779934191317924,50907010.766837716,333.30233669143837,333.3061863523058,333.30214973588903,333.3059993967565,2,sparse_direct,not_applicable,3.1945242582162186e-16,6.195440985631454e-16,0.010548799997195601,0.008999199999379925,0.0,0.0,0.0002469811793805954,0.0002469806152655205,2.63177948064762,2.6317854917528933,6.011105273540096e-06,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.021654700001818128,0.0,,
29,arpack_matvec,central_difference,1.0,0.002018308208383889,0.3019871201017614,39250478.13842825,333.3022385796512,333.3061863523058,333.30214973588903,333.30609750854364,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.007297500007553026,0.006682400009594858,0.015625,0.0,0.0002469810298483194,0.0002469807653910605,2.6317810740330545,2.6317838920403913,2.8180073368133662e-06,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.015867900001467206,0.015625,,
30,arpack_matvec,central_difference,1.0,0.002018308208383889,0.241271065845225,58835362.32945409,333.30214973588903,333.3061605226389,333.30217556555584,333.3061863523058,2,sparse_direct,not_applicable,9.29316147844718e-16,4.64658073922359e-16,0.00749319999886211,0.009428500008652918,0.015625,0.0,0.00024698085319958753,0.00024698093241904925,2.631782956368399,2.6317821122205243,8.441478747123199e-07,0.0,3.097720492815727e-16,3.097720492815727e-16,True,0.018626100005349144,0.015625,,
31,arpack_matvec,central_difference,1.0,0.002018308208383889,0.1934549428178858,15071387.290538838,333.3024906873549,333.3061863523058,333.30214973588903,333.3058454008398,2,sparse_direct,not_applicable,7.744301232039318e-16,4.64658073922359e-16,0.006601300003239885,0.011378299997886643,0.015625,0.0,0.0002469801703245864,0.0002469816169973566,2.6317902329800673,2.631774817503753,1.5415476314117882e-05,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.020048699996550567,0.015625,,
32,arpack_matvec,central_difference,1.0,0.002018308208383889,0.1488508303363109,29887690.491493978,333.30214973588903,333.3061093919066,333.30222669628813,333.3061863523058,2,sparse_direct,not_applicable,3.96895438142015e-16,4.64658073922359e-16,0.009424799995031208,0.010581200011074543,0.0,0.0,0.0002469808091166794,0.00024698095293271716,2.631783426107917,2.631781893630776,1.5324771407421167e-06,3.097720492815727e-16,1.5488602464078636e-16,4.64658073922359e-16,True,0.022192699994775467,0.0,,
33,arpack_matvec,central_difference,1.0,0.002018308208383889,0.17969559942064123,24043928.36930839,333.302149735889,333.3061666940125,333.30216939418233,333.30618635230576,2,sparse_direct,not_applicable,4.64658073922359e-16,3.3881317890172014e-16,0.008708200010005385,0.009113199994317256,0.0,0.0,0.0002469808633494146,0.00024698091296845593,2.631782848213696,2.631782319482385,5.287313111779213e-07,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.018974999999045394,0.0,,
34,arpack_matvec,central_difference,1.0,0.002018308208383889,0.15730403748099056,61360306.01628345,333.30223666259064,333.3061863523058,333.30214973588903,333.3060994256042,2,sparse_direct,not_applicable,6.195440985631454e-16,4.64658073922359e-16,0.006310700002359226,0.009872700000414625,0.015625,0.0,0.000246981208415076,0.00024698057382215754,2.6317791712623397,2.63178593336674,6.762104400426239e-06,3.097720492815727e-16,4.64658073922359e-16,7.744301232039318e-16,True,0.01862990000518039,0.015625,,
