call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.0020464556205182106,0.07481376943385959,2036387.5033819764,337.95384235710287,337.95448860624623,337.95039569500517,337.9510419441485,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.022813400006270967,0.011555800010683015,0.015625,0.015625,0.00011344679712555359,0.0001132976280559937,4.848087508290827,4.854470560744487,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.040613900011521764,0.03125,,
2,parent_h_half_probe,central_difference,0.5,0.0010232278102591053,0.07481376943385959,2036387.5279217742,337.9531422538643,337.95346537843596,337.95141892281544,337.9517420473871,2,sparse_direct,not_applicable,7.744301232039318e-16,3.097720492815727e-16,0.011941499993554316,0.012582000010297634,0.015625,0.0,0.00011340948035376275,0.00011333489582597873,4.849682745078833,4.8528742713497826,0.0031915262709496517,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.026567699998850003,0.015625,,
3,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.07481376943385959,2036387.5033819764,337.95384235710287,337.95448860624623,337.95039569500517,337.9510419441485,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.051864900000509806,0.012680900006671436,0.015625,0.015625,0.00011344679712555359,0.0001132976280559937,4.848087508290827,4.854470560744487,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.07379840000066906,0.03125,,
4,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.13984318254555075,24744890.59082721,337.9503956950051,337.95446474199,337.9504195592614,337.9544886062462,2,sparse_direct,not_applicable,7.744301232039318e-16,3.872150616019659e-16,0.009814399993047118,0.014004399999976158,0.0,0.015625,0.0001133716337198474,0.00011337272560199919,4.851301705319911,4.85125498288542,4.67224344911088e-05,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.028614199996809475,0.015625,,
5,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.1423546111259599,17598495.216173876,337.95039569500517,337.9544256915076,337.9504586097437,337.95448860624623,2,sparse_direct,not_applicable,5.421010862427522e-16,3.872150616019659e-16,0.01676130000851117,0.028936699993209913,0.015625,0.0,0.00011337078985719958,0.00011337357956696773,4.851337815435291,4.851218441728083,0.00011937370720804807,6.195440985631454e-16,1.5488602464078636e-16,7.744301232039318e-16,True,0.04758290000609122,0.015625,,
6,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.1655328070073611,8169402.102877938,337.9504110407403,337.95448860624623,337.95039569500517,337.9544732605111,2,sparse_direct,not_applicable,6.195440985631454e-16,3.872150616019659e-16,0.04071230000408832,0.018863299992517568,0.015625,0.015625,0.00011337187009836185,0.00011337248395633112,4.851291590434364,4.851265323002444,2.6267431920246054e-05,1.5488602464078636e-16,3.097720492815727e-16,1.5488602464078636e-16,True,0.061434499992174096,0.03125,,
7,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.2917265474789472,47352278.82577103,337.95039569500517,337.95448542232305,337.95039887892824,337.95448860624623,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.023398199991788715,0.04231119999894872,0.0,0.015625,0.00011337221607219319,0.000113372146037073,4.851276785925847,4.8512797827797005,2.9968538530766864e-06,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.0772173000004841,0.015625,,
8,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.2682312940753273,86449307.47887355,337.9503999704594,337.95448860624623,337.95039569500517,337.9544843307919,2,sparse_direct,not_applicable,3.872150616019659e-16,5.421010862427522e-16,0.010127900008228607,0.01569739999831654,0.0,0.015625,0.00011337226101557688,0.00011337209943240884,4.851274862767642,4.85128177702931,6.9142616681006075e-06,1.5488602464078636e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.028472399993916042,0.015625,,
9,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.31577134672213003,73085383.7907681,337.9504015829271,337.95448860624623,337.95039569500517,337.9544827183243,2,sparse_direct,not_applicable,4.64658073922359e-16,8.518731355243249e-16,0.012485100000048988,0.008795099987764843,0.0,0.015625,0.0001133722569959447,0.00011337210407652286,4.851275034770397,4.8512815783040075,6.543533610958718e-06,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.024774100005743094,0.015625,,
10,arpack_matvec,central_difference,1.0,0.0020464556205182106,0.33929030698810736,83981517.04124634,337.95039725754174,337.9544886062462,337.9503956950051,337.95448704370966,2,sparse_direct,not_applicable,5.421010862427522e-16,6.9698711088353855e-16,0.006197800001245923,0.003762799999094568,0.0,0.015625,0.00011337213813689312,0.0001133722215768508,4.8512801208343905,4.851276550377691,3.5704566991867637e-06,0.0,0.0,0.0,True,0.013429200000246055,0.015625,,
