call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.0020464556205182106,0.07481376943385959,2036387.5033819764,337.95384235710287,337.95448860624623,337.95039569500517,337.9510419441485,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.005120700006955303,0.004422199999680743,0.0,0.0,0.00011344679712555359,0.0001132976280559937,4.848087508290827,4.854470560744487,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.010327800002414733,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.0020464556205182106,0.07481376943385959,2036387.5033819764,337.95384235710287,337.95448860624623,337.95039569500517,337.9510419441485,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.003897799993865192,0.004991699999663979,0.015625,0.0,0.00011344679712555359,0.0001132976280559937,4.848087508290827,4.854470560744487,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.009365399993839674,0.015625,,
3,fixed_probe_a_h_half,central_difference,0.5,0.0010232278102591053,0.07481376943385959,2036387.5279217742,337.9531422538643,337.95346537843596,337.95141892281544,337.9517420473871,2,sparse_direct,not_applicable,7.744301232039318e-16,3.097720492815727e-16,0.004473700013477355,0.0035926999989897013,0.0,0.015625,0.00011340948035376275,0.00011333489582597873,4.849682745078833,4.8528742713497826,0.0031915262709496517,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.00864949999959208,0.015625,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004092911241036421,0.07481376943385959,2036387.4050897409,337.9552425635801,337.95653506186676,337.94834923938464,337.9496417376713,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.0038714999973308295,0.003938699999707751,0.0,0.0,0.00011352147971993532,0.00011322314146887468,4.844898087629626,4.857664191831282,0.012766104201656248,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.008271099999547005,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.0020464556205182106,0.037406884716929795,1018193.7516909882,337.95039569500517,337.9510419441485,337.95384235710287,337.95448860624623,2,sparse_direct,not_applicable,6.195440985631454e-16,3.872150616019659e-16,0.004515599997830577,0.00814669999817852,0.0,0.015625,0.0001132976280559937,0.00011344679712555359,4.854470560744487,4.848087508290827,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.013389699990511872,0.015625,,
6,fixed_probe_b,central_difference,1.0,0.0020464556205182106,0.14912599030805507,5040004.156168952,337.95054029900786,337.95448860624623,337.95039569500517,337.95434400224354,2,sparse_direct,not_applicable,3.872150616019659e-16,3.872150616019659e-16,0.005931500010774471,0.0065159000077983364,0.0,0.015625,0.00011337531095745962,0.00011336905260046182,4.851144357225794,4.851412156881335,0.00026779965554091234,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.013154999993275851,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.0020464556205182106,0.20031435886806426,6114227.577476222,337.9517906124748,337.95448860624623,337.95039569500517,337.9530936887766,2,sparse_direct,not_applicable,3.872150616019659e-16,8.518731355243249e-16,0.006975800002692267,0.005853100010426715,0.0,0.0,0.00011340237180929366,0.00011334200078536488,4.849986743883305,4.852570063956538,0.002583320073233253,3.097720492815727e-16,1.5488602464078636e-16,4.64658073922359e-16,True,0.013942799996584654,0.0,,
8,requalification_step_2h,central_difference,2.0,0.004092911241036421,0.07481376943385959,2036387.4050897409,337.9552425635801,337.95653506186676,337.94834923938464,337.9496417376713,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.003468099996098317,0.004085699998540804,0.015625,0.0,0.00011352147971993532,0.00011322314146887468,4.844898087629626,4.857664191831282,0.012766104201656248,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.008020400011446327,0.015625,,
9,requalification_step_1h,central_difference,1.0,0.0020464556205182106,0.07481376943385959,2036387.5033819764,337.95384235710287,337.95448860624623,337.95039569500517,337.9510419441485,2,sparse_direct,not_applicable,3.872150616019659e-16,6.195440985631454e-16,0.00368249999883119,0.004085499997017905,0.0,0.0,0.00011344679712555359,0.0001132976280559937,4.848087508290827,4.854470560744487,0.006383052453660554,1.5488602464078636e-16,1.5488602464078636e-16,0.0,True,0.008474599992041476,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.0010232278102591053,0.07481376943385959,2036387.5279217742,337.9531422538643,337.95346537843596,337.95141892281544,337.9517420473871,2,sparse_direct,not_applicable,7.744301232039318e-16,3.097720492815727e-16,0.0031282999989343807,0.0038672000082442537,0.015625,0.0,0.00011340948035376275,0.00011333489582597873,4.849682745078833,4.8528742713497826,0.0031915262709496517,1.5488602464078636e-16,3.097720492815727e-16,4.64658073922359e-16,True,0.007475000005797483,0.015625,,
