branch,current_A,current_mA,stage,grid,execution_role,equilibrium_valid,equilibrium_code,spectrum_valid,spectrum_code,physical_spectrum_classification,stable,stable_continuation_connected,continuation_role,active_area_mean_conductive_state,transition_area_fraction,transition_bearing,temperature_mean_K,temperature_min_K,temperature_max_K,device_voltage_V,scaled_thermal_residual_inf,last_scaled_update_inf,scaled_electrical_residual_inf,maximum_ledger_error,requested_pair_count,returned_pair_count,finite_pair_count,certified_pair_count,maximum_relative_ritz_residual,maximum_absolute_ritz_residual_rate_per_s,rightmost_spectral_abscissa_per_s,alpha_tau_dimensionless,h_vs_h_half_relative_difference,two_h_vs_h_relative_difference,equilibrium_manifest_path,equilibrium_manifest_sha256,equilibrium_npz_path,equilibrium_npz_sha256,spectrum_summary_path,spectrum_ritz_path,failure_detail
heating,0.0001,0.1,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,True,PASS,True,PASS,STABLE_MARGIN_PASS,True,True,stable_discrete_continuation_chain,0.00943327084432547,0.0,False,327.19880367322247,327.1988036732222,327.1988036732228,4.529535566837697,1.4765243445047387e-13,0.0,7.744301232039318e-17,1.2985430181399106e-13,6,6,6,6,6.1419838646565845e-09,0.031072215891214703,-3875331.497463996,-0.9330895256029816,1.0019589843750324e-09,2.6145543869986307e-09,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p1mA_L1_R1.json,be0b6959ddc5182e86876a600ba3c3da7de60ed65057c5adad818a8f358e16d4,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p1mA_L1_R1.npz,c778bd49404e1c27fc13b566065b6a010ab0cfc845104c84502f22f6353286b6,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p1mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p1mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.00015,0.15,R1,L1,new_preregistered_execution:previous_stable_l1_equilibrium,True,PASS,True,PASS,STABLE_MARGIN_PASS,True,True,stable_discrete_continuation_chain,0.02782262546303463,0.0,False,329.3733997694873,329.3733997694873,329.3733997694874,6.006135683429311,5.085756645489055e-14,3.7008197274799503e-10,1.7424677772088464e-16,9.035018104045863e-16,6,6,6,6,6.447187312733341e-09,0.03343306571108189,-3242812.567478978,-0.7807937055677541,2.7445469625624687e-09,1.076996260817144e-08,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p15mA_L1_R1.json,11584b47cff5b00ded5bd3585900f4b945ef1a9154c859901dbf4dcaa4cfb3c7,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p15mA_L1_R1.npz,5d8d4811c6bc9c3d38accb45d97f307396e773607a4cf8880cc8d6807defbd9d,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p15mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p15mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.0002,0.2,R1,L1,new_preregistered_execution:previous_stable_l1_equilibrium,True,PASS,True,PASS,STABLE_MARGIN_PASS,True,True,stable_discrete_continuation_chain,0.08147867887801774,0.0,False,331.6091013039466,331.60910130394655,331.6091013039466,6.807374343065023,5.183628099478522e-14,3.7768686315117677e-13,1.9360753080098294e-16,8.600513849199685e-15,6,6,6,6,2.029076856099464e-08,0.08427214362025999,-1952741.5767663473,-0.47017467091073223,5.635173906921533e-09,2.2417105980603596e-08,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p2mA_L1_R1.json,0dd86d82389b3313a1627814ccb4b4f2926c43811177092048a224ada2782573,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p2mA_L1_R1.npz,12477de862bb43a4315351d9fc07265029bc2ec49ce883be668d8c7d472718a0,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p2mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p2mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.00025,0.25,R1,L1,new_preregistered_execution:previous_stable_l1_equilibrium,True,PASS,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.18299537483732664,1.0,True,333.4396148664254,333.43961486642536,333.4396148664255,6.954242649934535,5.854492429551781e-14,1.7721936740990423e-11,2.710505431213761e-16,2.818925648462308e-15,6,6,6,6,4.851800478138827e-08,0.2015062295356045,473860.96766689094,0.11409467959358152,1.3087104515726609e-09,4.9832230924560754e-09,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p25mA_L1_R1.json,c98f06d4ecd17079d9b760828851927fe1c8a1846877a8a3aa3816b665a5a3a1,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p25mA_L1_R1.npz,cce4fee96befde8095a40e0ab430c51e3b926eb26ad24f449fa0e04d1d37278f,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p25mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p25mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.0003,0.3,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,True,PASS,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.3038797055863086,1.0,True,334.7583763549109,334.7583763549106,334.7583763549112,6.700751763705042,1.4456503494735158e-13,0.0,1.5488602464078636e-16,5.93277904624532e-14,6,6,6,6,1.2514993047849957e-07,0.5197759209389297,3651547.637213738,0.8792075864359293,1.6697333521411467e-08,6.675863717106355e-08,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p3mA_L1_R1.json,6890c5a47617406fcc3b1db9b7971682c921e0d5217f7da10514185d8e942f20,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p3mA_L1_R1.npz,6b87a164b58391b329e315a8fed81d9ffdf525d78932bdf9e0f7582342394b42,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p3mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p3mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.00035,0.35,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,False,CCB_KRYLOV_BUDGET,False,,,,False,equilibrium_invalid_breaks_chain,,,False,,,,,,,,,,,,,,,,,,,,,,,,,full thermal residual evaluation budget exhausted
heating,0.0004,0.4,R1,L1,authenticated_pr34_reuse_no_replay,True,PASS_REUSED_PR34,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.5063480795578005,1.0,True,336.446685143702,336.4466851437019,336.4466851437021,5.895042849006573,5.2708226675782296e-14,5.76723202249527e-09,5.421010862427522e-16,9.563715551066287e-15,6,6,6,6,3.165640253232459e-07,2.2017576561547987,9742936.233237829,2.345872025090274,2.9918123911780556e-08,1.196519128075805e-07,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_stability_telemetry/Q2-CC-B-STABILITY-TELEMETRY-CLOSURE-20260808-V1/attempts/T1/diagnostic_input/equilibria/diagnostic_NOM_heating_0p4mA_L1.json,ebc5362cc61f9a3e4b0043224840f4a7c4fe75bbb91919ff28c769dbc2deb65a,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_stability_telemetry/Q2-CC-B-STABILITY-TELEMETRY-CLOSURE-20260808-V1/attempts/T1/diagnostic_input/equilibria/diagnostic_NOM_heating_0p4mA_L1.npz,55b12deb98e3b1d9d11afc9d3e7ff0f5bfb2b74ef86115a25a6d19f158190e4d,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_stability_requalification/Q2-CC-B-STABILITY-REQUALIFICATION-20260808-V1/R1/L1_k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_stability_requalification/Q2-CC-B-STABILITY-REQUALIFICATION-20260808-V1/R1/L1_k6/telemetry/ritz_pairs.npz,
heating,0.00045,0.45,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,True,PASS,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.5801655919614738,1.0,True,337.03573557157114,337.03573557157114,337.03573557157125,5.509692283874796,5.299294363284257e-14,7.500359143920054e-09,4.64658073922359e-16,6.625679942966993e-15,6,6,6,6,3.327704220872376e-07,3.152993319151271,12233501.871084783,2.9455421980864336,2.6505026649316372e-08,1.060089464190591e-07,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p45mA_L1_R1.json,684c147c1c8cf9ce005b75e8b602b8dbd18158e647573671e0215a65a663c429,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p45mA_L1_R1.npz,044b32e2eb061b44129329db2355f76e808bab51dae10a5274c86924267ab52c,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p45mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p45mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.0005,0.5,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,True,PASS,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.6393959765213911,1.0,True,337.5284041019389,337.52840410193863,337.5284041019394,5.161702489996813,2.188761607400818e-13,0.0,6.9698711088353855e-16,3.918644239780287e-13,6,6,6,6,3.6045778125022945e-07,4.134874157307917,14355703.622493966,3.4565189304645667,1.9857431793022185e-08,7.941789218437167e-08,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p5mA_L1_R1.json,c9dcba7ab8aeaf67f36a63249b728aff1d1b3ca74b53b5c533c27f100cfd2022,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p5mA_L1_R1.npz,954306520f64ca29dfb2cc1defef53c1600f6d11a43af9be071cc18f7e3b0240,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p5mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p5mA_L1/k6/telemetry/ritz_pairs.npz,
heating,0.00055,0.55,R1,L1,new_preregistered_execution:piecewise_linear_cc_a_temperature_predictor,True,PASS,True,CCB_PHYSICALLY_UNSTABLE,POSITIVE_UNSTABLE,False,False,equilibrium_only_not_continuation_certified,0.6872527405571786,1.0,True,337.9524421506257,337.95244215062564,337.95244215062576,4.851278332779848,5.4274169939613776e-14,5.976787050108346e-09,5.421010862427522e-16,1.0239810800165664e-14,6,6,6,6,3.791107326181727e-07,5.18431332979498,16161331.066392705,3.891271946082904,1.1786917029336472e-08,4.7111418875920204e-08,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p55mA_L1_R1.json,ff04cbdf1478c9f39f7b4f7753a134e300566f86368f01c2c400271d6c323169,E:/Python demo/PINN/data/processed/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/equilibria/NOM_heating_0p55mA_L1_R1.npz,a41f3ad3d763281fc0f7e28b9f9b87194d6b92fecaa4b8c1ae22f7a3e1304abe,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p55mA_L1/k6/summary.json,E:/Python demo/PINN/outputs/tables/q2_current_clamp_cc_b_branch_stability_transition_bracket/Q2-CC-B-BRANCH-STABILITY-TRANSITION-BRACKET-20260808-V1/R1/cases/NOM_heating_0p55mA_L1/k6/telemetry/ritz_pairs.npz,
