branch,current_A,current_mA,stage,grid,physical_spectrum_classification,eigenvalue_real_per_s,eigenvalue_imag_per_s,uniform_mass_overlap,x_gradient_energy_fraction,y_gradient_energy_fraction,participation_ratio,dominant_spatial_axis,dominant_transverse_mode_index,mode_classification,vote_role
heating,0.00025,0.25,R1,L1,POSITIVE_UNSTABLE,473860.96766689094,0.0,4.138559040015196e-19,0.04555747242784507,0.9544425275721549,0.6657055982482195,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.0003,0.3,R1,L1,POSITIVE_UNSTABLE,3651547.637213738,0.0,1.0057947180772897e-18,0.024254003179437666,0.9757459968205623,0.6662242064581312,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.0004,0.4,R1,L1,POSITIVE_UNSTABLE,9742936.233237829,0.0,2.685286022325842e-19,0.011382161917199705,0.9886178380828002,0.6664902946618804,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.00045,0.45,R1,L1,POSITIVE_UNSTABLE,12233501.871084783,0.0,3.891413541111799e-20,0.009052922090242612,0.9909470779097573,0.6665324470500295,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.0005,0.5,R1,L1,POSITIVE_UNSTABLE,14355703.622493966,0.0,1.2352482917131948e-20,0.007614827924359984,0.99238517207564,0.6665572620058338,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.00055,0.55,R1,L1,POSITIVE_UNSTABLE,16161331.066392705,0.0,1.4540693055250865e-19,0.006656786733458386,0.9933432132665417,0.6665732249706915,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.0006,0.6,R1,L1,POSITIVE_UNSTABLE,17701888.6542352,0.0,3.827339237892175e-19,0.0059816064262382925,0.9940183935737618,0.6665841806492148,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.00065,0.65,R1,L1,POSITIVE_UNSTABLE,19021616.580702722,0.0,6.7971566718565435e-19,0.005485148076035382,0.9945148519239646,0.6665920719195214,y_transverse,1,transverse-dominated,nonvoting_diagnostic
heating,0.0007,0.7,R1,L1,POSITIVE_UNSTABLE,20156660.533845395,0.0,1.0253551788511882e-18,0.005108058721876294,0.9948919412781237,0.666597968544337,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.00065,0.65,R1,L1,POSITIVE_UNSTABLE,11640880.852468248,0.0,5.5813871343941506e-18,0.009533016454269157,0.9904669835457308,0.6665240026154235,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.0006,0.6,R1,L1,POSITIVE_UNSTABLE,11013434.346170194,0.0,5.077261590719451e-18,0.01008736855615667,0.9899126314438433,0.6665140621030219,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.00055,0.55,R1,L1,POSITIVE_UNSTABLE,10291184.971005248,0.0,4.45802296646678e-18,0.010792368759365093,0.9892076312406349,0.6665012326584184,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.0005,0.5,R1,L1,POSITIVE_UNSTABLE,9457705.604132323,0.0,3.759233856301564e-18,0.011709852964746208,0.9882901470352538,0.6664842326902145,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.00045,0.45,R1,L1,POSITIVE_UNSTABLE,8492143.415313631,0.0,2.924139866668119e-18,0.0129409133511071,0.987059086648893,0.666460909438553,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.0004,0.4,R1,L1,POSITIVE_UNSTABLE,7368143.360854122,0.0,2.0132555787360083e-18,0.014661417849885356,0.9853385821501146,0.6664273931007939,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.00035,0.35,R1,L1,POSITIVE_UNSTABLE,6053245.161739388,0.0,1.0691187058886416e-18,0.017202337945084297,0.9827976620549157,0.6663761005285289,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.0003,0.3,R1,L1,POSITIVE_UNSTABLE,4510723.830623476,0.0,2.78644487003399e-19,0.021253072432755322,0.9787469275672448,0.6662904204254786,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.00025,0.25,R1,L1,POSITIVE_UNSTABLE,2710310.6785132587,0.0,5.064278806942477e-21,0.0284543582874872,0.9715456417125128,0.6661282178837296,y_transverse,1,transverse-dominated,nonvoting_diagnostic
cooling,0.0002,0.2,R1,L1,POSITIVE_UNSTABLE,667067.9499293289,0.0,3.9902566082851586e-19,0.04344715109685817,0.9565528489031419,0.6657600501990089,y_transverse,1,transverse-dominated,nonvoting_diagnostic
