call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.002037337577546412,0.07481376943385959,1561115.163769901,336.44807911151827,336.44872248127956,336.4446478061245,336.4452911758858,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.001661899994360283,0.001624900003662333,0.0,0.0,6.78882033070725e-05,6.781906738790988e-05,5.892039861339629,5.898046307715934,0.006006446376304986,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.0035442000080365688,0.0,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.002037337577546412,0.07481376943385959,1561115.163769901,336.44807911151827,336.44872248127956,336.4446478061245,336.4452911758858,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.0014738999889232218,0.0014558999973814934,0.0,0.0,6.78882033070725e-05,6.781906738790988e-05,5.892039861339629,5.898046307715934,0.006006446376304986,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.003142599991406314,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.001018668788773206,0.07481376943385959,1561115.2160745985,336.4473821276101,336.44770381249083,336.44566647491325,336.44598815979396,2,sparse_direct,not_applicable,3.097720492815727e-16,3.4849355544176928e-16,0.0015466999902855605,0.0024046000035014004,0.0,0.0,6.78709081508399e-05,6.783634019460314e-05,5.893541296235772,5.896544519537963,0.0030032233021914934,1.5488602464078636e-16,7.744301232039318e-17,7.744301232039318e-17,True,0.004339099992648698,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.004074675155092824,0.07481376943385959,1561114.9581056186,336.4494730793345,336.45075981885714,336.44261046854695,336.4438972080696,2,sparse_direct,not_applicable,3.097720492815727e-16,4.64658073922359e-16,0.0020241000020178035,0.0015262999950209633,0.0,0.015625,6.792281599249993e-05,6.778454410066039e-05,5.889037345627251,5.901050236555372,0.012012890928120967,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.0039484000008087605,0.015625,,
5,fixed_probe_a_scaled,central_difference,1.0,0.002037337577546412,0.037406884716929795,780557.5818849505,336.4446478061245,336.4452911758858,336.44807911151827,336.44872248127956,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0014719000027980655,0.0015401999989990145,0.0,0.0,6.781906738790988e-05,6.78882033070725e-05,5.898046307715934,5.892039861339629,0.006006446376304986,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.003227199995308183,0.0,,
6,fixed_probe_b,central_difference,1.0,0.002037337577546412,0.14912599030805507,4147082.527748219,336.4447917658398,336.44872248127956,336.4446478061245,336.4485785215643,2,sparse_direct,not_applicable,3.097720492815727e-16,3.872150616019659e-16,0.0014425000117626041,0.0014310999977169558,0.0,0.0,6.785507220453661e-05,6.785217162152729e-05,5.894916724784754,5.895168724019041,0.00025199923428687043,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0030759000073885545,0.0,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.002037337577546412,0.20031435886806426,4887843.039789801,336.4460365084984,336.44872248127956,336.4446478061245,336.44733377890566,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.0014930000033928081,0.0019428999949013814,0.0,0.0,6.786761380799536e-05,6.78396334347338e-05,5.893827372974129,5.8962582748155095,0.002430901841380617,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.003662199989776127,0.0,,
8,requalification_step_2h,central_difference,2.0,0.004074675155092824,0.07481376943385959,1561114.9581056186,336.4494730793345,336.45075981885714,336.44261046854695,336.4438972080696,2,sparse_direct,not_applicable,3.097720492815727e-16,4.64658073922359e-16,0.001527799991890788,0.0016112000012071803,0.0,0.0,6.792281599249993e-05,6.778454410066039e-05,5.889037345627251,5.901050236555372,0.012012890928120967,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.0033893999934662133,0.0,,
9,requalification_step_1h,central_difference,1.0,0.002037337577546412,0.07481376943385959,1561115.163769901,336.44807911151827,336.44872248127956,336.4446478061245,336.4452911758858,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.00147790000482928,0.0014463999978033826,0.0,0.0,6.78882033070725e-05,6.781906738790988e-05,5.892039861339629,5.898046307715934,0.006006446376304986,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.0031310000049415976,0.0,,
10,requalification_step_0.5h,central_difference,0.5,0.001018668788773206,0.07481376943385959,1561115.2160745985,336.4473821276101,336.44770381249083,336.44566647491325,336.44598815979396,2,sparse_direct,not_applicable,3.097720492815727e-16,3.4849355544176928e-16,0.0014438000071095303,0.0016515000024810433,0.0,0.0,6.78709081508399e-05,6.783634019460314e-05,5.893541296235772,5.896544519537963,0.0030032233021914934,1.5488602464078636e-16,7.744301232039318e-17,7.744301232039318e-17,True,0.0033165999921038747,0.0,,
