call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,parent_h_probe,central_difference,1.0,0.002037337577546412,0.07481376943385959,1561115.163769901,336.44807911151827,336.44872248127956,336.4446478061245,336.4452911758858,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.003339100003358908,0.0029966000001877546,0.0,0.015625,6.78882033070725e-05,6.781906738790988e-05,5.892039861339629,5.898046307715934,0.006006446376304986,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.007023199999821372,0.015625,,
2,parent_h_half_probe,central_difference,0.5,0.001018668788773206,0.07481376943385959,1561115.2160745985,336.4473821276101,336.44770381249083,336.44566647491325,336.44598815979396,2,sparse_direct,not_applicable,3.097720492815727e-16,3.4849355544176928e-16,0.0031689000024925917,0.0032284999906551093,0.0,0.0,6.78709081508399e-05,6.783634019460314e-05,5.893541296235772,5.896544519537963,0.0030032233021914934,1.5488602464078636e-16,7.744301232039318e-17,7.744301232039318e-17,True,0.007075300003634766,0.0,,
3,arpack_matvec,central_difference,1.0,0.002037337577546412,0.07481376943385959,1561115.163769901,336.44807911151827,336.44872248127956,336.4446478061245,336.4452911758858,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.0026498999941395596,0.002718600007938221,0.0,0.015625,6.78882033070725e-05,6.781906738790988e-05,5.892039861339629,5.898046307715934,0.006006446376304986,1.5488602464078636e-16,0.0,1.5488602464078636e-16,True,0.006067299997084774,0.015625,,
4,arpack_matvec,central_difference,1.0,0.002037337577546412,0.13352434679917075,26405446.477796108,336.4446478061245,336.44870965019936,336.4446606372047,336.44872248127956,2,sparse_direct,not_applicable,3.872150616019659e-16,4.64658073922359e-16,0.002848700009053573,0.0027501000004122034,0.0,0.0,6.785347974356694e-05,6.785376139109423e-05,5.8950550732502895,5.895030604044005,2.4469206284294387e-05,7.744301232039318e-17,2.323290369611795e-16,1.5488602464078636e-16,True,0.0062104999960865825,0.0,,
5,arpack_matvec,central_difference,1.0,0.002037337577546412,0.13636721737230453,13141164.417802416,336.44464780612446,336.4486564204239,336.44471386698007,336.4487224812795,2,sparse_direct,not_applicable,4.64658073922359e-16,4.64658073922359e-16,0.0024508999922545627,0.002645100001245737,0.0,0.0,6.785293760059817e-05,6.785431038688929e-05,5.8951021745663335,5.89498290851818,0.00011926604815304387,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.005738499996368773,0.0,,
6,arpack_matvec,central_difference,1.0,0.002037337577546412,0.1418789299053536,8924211.091034377,336.4446478061245,336.44870758029015,336.44466270711393,336.44872248127956,2,sparse_direct,not_applicable,3.872150616019659e-16,3.097720492815727e-16,0.0025345999893033877,0.0025184000114677474,0.0,0.015625,6.785326381758045e-05,6.785397604483719e-05,5.895073832783884,5.8950119553154,6.187746848329567e-05,1.5488602464078636e-16,1.5488602464078636e-16,3.097720492815727e-16,True,0.005589899999904446,0.015625,,
7,arpack_matvec,central_difference,1.0,0.002037337577546412,0.3292771746817094,47405334.89629341,336.4446478061245,336.4487138174552,336.4446564699489,336.44872248127956,2,sparse_direct,not_applicable,3.1945242582162186e-16,2.904112962014744e-16,0.0030674000008730218,0.002607899994472973,0.0,0.0,6.785357835718375e-05,6.785366340368106e-05,5.8950465057920045,5.895039117052301,7.388739703628744e-06,7.744301232039318e-17,2.323290369611795e-16,3.097720492815727e-16,True,0.006217999994987622,0.0,,
8,arpack_matvec,central_difference,1.0,0.002037337577546412,0.27111011939965357,97162000.29186308,336.44464780612446,336.4487162507466,336.44465403665737,336.4487224812795,2,sparse_direct,not_applicable,2.5652997831130237e-16,2.8073091966142525e-16,0.0018278999923495576,0.0016508999979123473,0.0,0.0,6.785359770879431e-05,6.785364345839764e-05,5.8950448245452005,5.895040849873414,3.974671786366457e-06,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.0037223000108497217,0.0,,
9,arpack_matvec,central_difference,1.0,0.002037337577546412,0.2586760739995357,56407602.624542326,336.4446478061245,336.44871332292587,336.4446569644782,336.44872248127956,2,sparse_direct,not_applicable,3.3397299063169554e-16,3.872150616019659e-16,0.0021210999984759837,0.0027015999949071556,0.0,0.015625,6.785359331343734e-05,6.785364902073225e-05,5.895045206408933,5.895040366624683,4.839784249810464e-06,7.744301232039318e-17,7.744301232039318e-17,1.5488602464078636e-16,True,0.0052257000061217695,0.015625,,
10,arpack_matvec,central_difference,1.0,0.002037337577546412,0.30096471715469253,79825467.82411075,336.4446478061245,336.44872216225144,336.44464812515264,336.44872248127956,2,sparse_direct,not_applicable,4.64658073922359e-16,3.097720492815727e-16,0.0027357999933883548,0.0033183000050485134,0.0,0.0,6.785362642768754e-05,6.785361505521827e-05,5.895042329480872,5.895043317507636,9.880267644035712e-07,7.744301232039318e-17,2.323290369611795e-16,3.097720492815727e-16,True,0.006720799996401183,0.0,,
11,arpack_matvec,central_difference,1.0,0.002037337577546412,0.3396998993178622,80874532.44403695,336.44465085294803,336.44872248127956,336.4446478061245,336.44871943445605,2,sparse_direct,not_applicable,4.64658073922359e-16,2.323290369611795e-16,0.002253099999506958,0.0016002999909687787,0.0,0.0,6.78536364707896e-05,6.785360488155374e-05,5.8950414569482446,5.895044201383935,2.744435690260616e-06,0.0,1.5488602464078636e-16,1.5488602464078636e-16,True,0.004296099999919534,0.0,,
12,arpack_matvec,central_difference,1.0,0.002037337577546412,0.3263386114134735,72218448.77619569,336.4446610205611,336.44872248127956,336.4446478061245,336.44870926684285,2,sparse_direct,not_applicable,5.421010862427522e-16,3.872150616019659e-16,0.0015678999916417524,0.0015549999952781945,0.0,0.015625,6.785367131476996e-05,6.785357008622178e-05,5.89503842974714,5.895047224364445,8.79461730551867e-06,7.744301232039318e-17,0.0,7.744301232039318e-17,True,0.0033422999986214563,0.015625,,
13,arpack_matvec,central_difference,1.0,0.002037337577546412,0.31921861612003427,79612253.27940497,336.4446647364348,336.44872248127956,336.4446478061245,336.4487055509693,2,sparse_direct,not_applicable,6.195440985631454e-16,3.872150616019659e-16,0.001615100001799874,0.0014994999946793541,0.0,0.0,6.785368394551297e-05,6.785355710113015e-05,5.895037332404872,5.895048352495845,1.1020090973090646e-05,2.323290369611795e-16,7.744301232039318e-17,1.5488602464078636e-16,True,0.0033262999932048842,0.0,,
14,arpack_matvec,central_difference,1.0,0.002037337577546412,0.33842397351673664,72877981.94602597,336.44467686252614,336.44872248127956,336.4446478061245,336.44869342487794,2,sparse_direct,not_applicable,2.710505431213761e-16,3.872150616019659e-16,0.0016755000106059015,0.0023724000056972727,0.0,0.0,6.785372693336061e-05,6.785351424971436e-05,5.895033597680515,5.895052075385821,1.8477705306274572e-05,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.004510200000368059,0.0,,
