call_index,call_role,perturbation_method,step_multiplier,step_size_K,input_inf_norm,output_inf_norm_per_s,plus_temperature_min_K,plus_temperature_max_K,minus_temperature_min_K,minus_temperature_max_K,unit_bias_electrical_solve_count,electrical_solver_type,electrical_iterations,plus_electrical_residual,minus_electrical_residual,plus_electrical_wall_s,minus_electrical_wall_s,plus_electrical_cpu_s,minus_electrical_cpu_s,plus_G_hat_S,minus_G_hat_S,plus_Vd_V,minus_Vd_V,delta_Vd_V,plus_normalized_current_error,minus_normalized_current_error,normalized_delta_I_cond,finite,operator_wall_s,operator_cpu_s,exception_type,exception_message
1,fixed_probe_a_repeat_1,central_difference,1.0,0.02037337577546412,0.07481376943385959,1561108.364234369,336.4606248218642,336.4670585194775,336.42631176792656,336.4327454655399,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0017125000013038516,0.0016044000076362863,0.0,0.015625,6.820079443719267e-05,6.750942641569509e-05,5.865034319627569,5.925098482350681,0.06006416272311199,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.0035846999962814152,0.015625,,
2,fixed_probe_a_repeat_2,central_difference,1.0,0.02037337577546412,0.07481376943385959,1561108.364234369,336.4606248218642,336.4670585194775,336.42631176792656,336.4327454655399,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0017660000012256205,0.0015994999994290993,0.0,0.0,6.820079443719267e-05,6.750942641569509e-05,5.865034319627569,5.925098482350681,0.06006416272311199,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.0035986999864690006,0.0,,
3,fixed_probe_a_h_half,central_difference,0.5,0.01018668788773206,0.07481376943385959,1561113.5156104988,336.4536549827831,336.45687183158975,336.43649845581433,336.43971530462096,2,sparse_direct,not_applicable,3.097720492815727e-16,4.64658073922359e-16,0.0015880999999353662,0.0016622999974060804,0.0,0.0,6.802683327373002e-05,6.768115260763161e-05,5.880032639333049,5.910064834724707,0.03003219539165869,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.003482100000837818,0.0,,
4,fixed_probe_a_two_h,central_difference,2.0,0.04074675155092824,0.07481376943385959,1561087.759353269,336.47456450002636,336.487431895253,336.4059383921511,336.4188057873777,2,sparse_direct,not_applicable,3.097720492815727e-16,3.097720492815727e-16,0.0016371999954571947,0.0015795000072102994,0.0,0.0,6.855097525526287e-05,6.716818569721667e-05,5.835073804720098,5.95520030573902,0.1201265010189223,7.744301232039318e-17,1.5488602464078636e-16,7.744301232039318e-17,True,0.0034512999991420656,0.0,,
5,fixed_probe_a_scaled,central_difference,1.0,0.02037337577546412,0.037406884716929795,780554.1821171845,336.42631176792656,336.4327454655399,336.4606248218642,336.4670585194775,2,sparse_direct,not_applicable,2.323290369611795e-16,3.872150616019659e-16,0.0015703999961260706,0.0015581000043312088,0.0,0.0,6.750942641569509e-05,6.820079443719267e-05,5.925098482350681,5.865034319627569,0.06006416272311199,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.003350200000568293,0.0,,
6,fixed_probe_b,central_difference,1.0,0.02037337577546412,0.14912599030805507,4147085.7183350897,336.4277513650795,336.4670585194775,336.42631176792656,336.4656189223246,2,sparse_direct,not_applicable,3.872150616019659e-16,4.64658073922359e-16,0.0014273999986471608,0.0017493999912403524,0.015625,0.0,6.786826991018525e-05,6.783926403083794e-05,5.893770395640666,5.8962903816021734,0.002519985961507487,2.323290369611795e-16,7.744301232039318e-17,3.097720492815727e-16,True,0.0033946000039577484,0.015625,,
7,fixed_probe_a_plus_b,central_difference,1.0,0.02037337577546412,0.20031435886806426,4887838.828370507,336.4401987916659,336.4670585194775,336.42631176792656,336.45317149573816,2,sparse_direct,not_applicable,2.323290369611795e-16,3.097720492815727e-16,0.0016520999924978241,0.00160679999680724,0.0,0.0,6.799384010551847e-05,6.771403550350833e-05,5.882885852295544,5.9071948234317775,0.024308971136233204,0.0,2.323290369611795e-16,2.323290369611795e-16,True,0.003507100002025254,0.0,,
8,parent_h_probe,central_difference,1.0,0.02037337577546412,0.07481376943385959,1561108.364234369,336.4606248218642,336.4670585194775,336.42631176792656,336.4327454655399,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0015370000037364662,0.0014353000005939975,0.0,0.0,6.820079443719267e-05,6.750942641569509e-05,5.865034319627569,5.925098482350681,0.06006416272311199,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.0032011000002967194,0.0,,
9,parent_h_half_probe,central_difference,0.5,0.01018668788773206,0.07481376943385959,1561113.5156104988,336.4536549827831,336.45687183158975,336.43649845581433,336.43971530462096,2,sparse_direct,not_applicable,3.097720492815727e-16,4.64658073922359e-16,0.0014597999979741871,0.0015951999957906082,0.0,0.015625,6.802683327373002e-05,6.768115260763161e-05,5.880032639333049,5.910064834724707,0.03003219539165869,7.744301232039318e-17,1.5488602464078636e-16,2.323290369611795e-16,True,0.003297299990663305,0.015625,,
10,arpack_matvec,central_difference,1.0,0.02037337577546412,0.07481376943385959,1561108.364234369,336.4606248218642,336.4670585194775,336.42631176792656,336.4327454655399,2,sparse_direct,not_applicable,3.872150616019659e-16,2.323290369611795e-16,0.0015621000056853518,0.001451199990697205,0.0,0.0,6.820079443719267e-05,6.750942641569509e-05,5.865034319627569,5.925098482350681,0.06006416272311199,7.744301232039318e-17,7.744301232039318e-17,0.0,True,0.0032627000036882237,0.0,,
