branch,delta,current_A,root_index,temperature_K,resistance_ohm,resistance_derivative_ohm_K,conductive_state,device_voltage_V,scaled_equilibrium_residual,resistance_derivative_relative_error,spectral_abscissa_per_s,alpha_tau_dimensionless,stable,range_legal,voltage_envelope_legal,certified
heating,1,0.0001,0,327.19880367322224,45295.35566837764,-2410.670477773886,0.009433270844324437,4.529535566837764,6.46279474465973e-15,6.561103296355515e-10,-4639248.080196348,-1.117022838726888,True,True,True,True
heating,1,0.0002,0,331.6091013039466,34036.871715324975,-2995.7204151886594,0.0814786788780184,6.807374343064995,3.9817193746294924e-16,2.5287783581409117e-09,-6569129.367087628,-1.5816932845026523,True,True,True,True
heating,1,0.0003,0,334.7583763549107,22335.83921235076,-4422.261098016404,0.30387970558629385,6.7007517637052265,8.737365504470325e-15,9.197010431727447e-09,-12177489.89559428,-2.9320558195217297,True,True,True,True
heating,1,0.0004,0,336.44668514370204,14737.60712251628,-4376.211085231846,0.5063480795578033,5.895042849006512,3.3105169215229667e-15,2.0777274908591774e-08,-18270035.758812405,-4.398998901150948,True,True,True,True
heating,1,0.0005,0,337.5284041019379,10323.404979997482,-3716.033605846888,0.6393959765212693,5.161702489998741,3.1843185396151685e-14,1.5636966783066315e-08,-22883233.90043794,-5.5097495216588435,True,True,True,True
heating,1,0.0006,0,338.32539625028414,7625.087854329321,-3041.638025459994,0.7263180826207153,4.575052712597592,3.949689182451437e-15,2.630144341975232e-09,-26229630.829951566,-6.315483927988338,True,True,True,True
heating,1,0.0007,0,338.9612571864142,5869.426490614914,-2483.168261315774,0.7854589559067586,4.10859854343044,2.0356930087452946e-15,1.1692046134039883e-08,-28684525.162192117,-6.90656528177053,True,True,True,True
cooling,-1,0.0001,0,326.75997909475757,36255.56935200547,-5858.565923036615,0.22505947601374765,3.6255569352005472,5.9808862023871396e-15,3.1857542519862867e-09,-5334388.290934801,-1.2843964040309037,True,True,True,True
cooling,-1,0.0002,0,329.13679602208924,21304.499513760664,-6247.71453471259,0.4915627477639041,4.260899902752133,2.500008586869171e-14,1.962445879698647e-08,-9191705.269929508,-2.2131484533422507,True,True,True,True
cooling,-1,0.0003,0,330.62631529289155,12878.01055928523,-4895.8957378747655,0.6725948038850516,3.863403167785569,5.144956134695663e-15,1.0926139466284354e-08,-13036907.588885661,-3.138983574799654,True,True,True,True
cooling,-1,0.0004,0,331.6399318934867,8548.912312864739,-3639.9228987801234,0.7743142996442083,3.4195649251458957,3.772996312397117e-14,8.957605299422881e-09,-15894912.576710075,-3.827124581576795,True,True,True,True
cooling,-1,0.0005,0,332.4080613053988,6104.242515648626,-2744.178544843805,0.8350029992822192,3.052121257824313,9.946413744791529e-16,2.7400068966678425e-08,-17984770.891349822,-4.330313768014326,True,True,True,True
cooling,-1,0.0006,0,333.03070860395366,4595.349923373408,-2120.048527115513,0.8739745685089324,2.7572099540240447,7.995562376995356e-15,4.1851618119089074e-08,-19540674.79358033,-4.704939173599924,True,True,True,True
cooling,-1,0.0007,0,333.5580263879231,3597.864154922843,-1676.3434351541234,0.9005535527593727,2.51850490844599,8.548388114261713e-15,5.263847595874937e-08,-20713876.677933875,-4.987418850609322,True,True,True,True
