branch,current_A,predictor_temperature_K,corrected_temperature_K,corrector_iterations,corrector_code,enumerated_root_count,matched_root_index,temperature_K,conductive_state,device_voltage_V,stable,certified,continuation_connected
heating,0.0001,325.0,327.19880367322224,3,CONVERGED,1,0,327.19880367322224,0.009433270844324437,4.529535566837764,True,True,True
heating,0.0002,329.3976073464445,331.6091013039466,4,CONVERGED,1,0,331.6091013039466,0.0814786788780184,6.807374343064995,True,True,True
heating,0.0003,336.01939893467096,334.75837635491064,3,CONVERGED,1,0,334.7583763549107,0.30387970558629385,6.7007517637052265,True,True,True
heating,0.0004,337.9076514058748,336.44668514370204,4,CONVERGED,1,0,336.44668514370204,0.5063480795578033,5.895042849006512,True,True,True
heating,0.0005,338.1349939324934,337.52840410193807,4,CONVERGED,1,0,337.5284041019379,0.6393959765212693,5.161702489998741,True,True,True
heating,0.0006,338.61012306017375,338.32539625028414,4,CONVERGED,1,0,338.32539625028414,0.7263180826207153,4.575052712597592,True,True,True
heating,0.0007,339.1223883986304,338.9612571864134,3,CONVERGED,1,0,338.9612571864142,0.7854589559067586,4.10859854343044,True,True,True
cooling,0.0007,333.5580263879231,333.5580263879231,0,FROZEN_HIGH_STATE_ENDPOINT,1,0,333.5580263879231,0.9005535527593727,2.51850490844599,True,True,True
cooling,0.0006,333.5580263879231,333.03070860395366,4,CONVERGED,1,0,333.03070860395366,0.8739745685089324,2.7572099540240447,True,True,True
cooling,0.0005,332.5033908199842,332.4080613053988,3,CONVERGED,1,0,332.4080613053988,0.8350029992822192,3.052121257824313,True,True,True
cooling,0.0004,331.78541400684395,331.6399318934867,3,CONVERGED,1,0,331.6399318934867,0.7743142996442083,3.4195649251458957,True,True,True
cooling,0.0003,330.87180248157455,330.6263152928911,3,CONVERGED,1,0,330.62631529289155,0.6725948038850516,3.863403167785569,True,True,True
cooling,0.0002,329.6126986922964,329.1367960220893,3,CONVERGED,1,0,329.13679602208924,0.4915627477639041,4.260899902752133,True,True,True
cooling,0.0001,327.64727675128694,326.75997909475757,3,CONVERGED,1,0,326.75997909475757,0.22505947601374765,3.6255569352005472,True,True,True
