seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,historical_pr39_metrics_modified
baseline,train,cooling_high_localized-sink,20.0,A1,0.00864699677915682,0.0019275120497635437,0.005287254414460181,0.004123157111904872,0.004270781693413697,0.004253244896470143,0.0,0.008502189582127975,0.0003788226712359741,4.0618406664336376e-15,4.738814110839241e-15,4.738814110839241e-15,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_high_localized-sink,20.0,A2,0.0002032567778947822,5.18607443430006e-05,0.00012755876111889138,0.00017315990835894713,0.004253981387966644,0.004253244896470143,0.0,0.000196385930516255,9.232031257133159e-06,8.155764295931649e-16,4.893458577558965e-15,4.893458577558965e-15,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_high_localized-sink,20.0,R0,0.19719638581193727,0.00046419083363256165,0.09883028832278491,0.008172675146721469,0.004218484507611841,0.004253244896470143,0.0,0.1905078557199968,0.00851565832784909,9.595123801708632e-16,0.1734262833903279,0.1734262833903279,0,1,1,2,False,nan,0,True,False,False
baseline,train,cooling_high_localized-sink,20.0,R1,0.008517053229390219,0.00046419083363256165,0.00449062203151139,0.008172675146721469,0.004218484507611841,0.004253244896470143,0.0,0.008137082823751718,0.0003586640915382123,9.595123801708632e-16,5.208781492356092e-15,5.208781492356092e-15,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_high_localized-sink,20.0,R2,0.00038471799948346704,5.255890394153474e-06,0.00019498694493881027,0.0003452354404089787,0.004251776525595143,0.004253244896470143,0.0,0.00036759198689824955,1.6130496370216217e-05,4.0799968331684326e-16,4.2159967276073625e-15,4.2159967276073625e-15,2,4,1,2,False,nan,0,True,False,False
20260809,train,cooling_high_localized-sink,20.0,N0,0.0032302130164459843,2.6003358133971187e-05,0.0016281081872899779,5.138579215970752e-07,0.00425324271090656,0.004253244896470143,0.17999999999999997,0.003211604764549657,0.0001430044958127705,1.2235771108442515e-15,7.344324319433812e-05,7.344324319433812e-05,0,1,1,2,False,nan,0,True,False,False
20260809,train,cooling_high_localized-sink,20.0,N1,8.760256592061348e-05,2.6003358133971187e-05,5.680296202729233e-05,5.138579215970752e-07,0.00425324271090656,0.004253244896470143,0.0,8.559190971844665e-05,3.842508496892608e-06,1.2235771108442515e-15,5.166214468009041e-15,5.166214468009041e-15,1,2,1,2,False,nan,0,True,False,False
20260809,train,cooling_high_localized-sink,20.0,N2,3.502945065506787e-06,5.184192025526482e-07,2.0106821340297176e-06,8.32503507518916e-07,0.004253248437311437,0.004253244896470143,0.0,3.390799335157689e-06,1.4957102675822734e-07,8.157169756457297e-16,4.622396195325779e-15,4.622396195325779e-15,2,4,1,2,False,nan,0,True,False,False
baseline,test,cooling_high_nominal,20.0,A1,0.0016872618601394911,0.00027681552829114496,0.000982038694215318,0.001594443961074509,0.004270781693413697,0.0042776020902343505,0.2,0.0016243145093453196,7.817986462013777e-05,4.0618406664336376e-15,3.5202619109091545e-15,4.0618406664336376e-15,1,2,1,2,False,nan,0,True,False,False
baseline,test,cooling_high_nominal,20.0,A2,7.671125617654024e-05,7.928123378019343e-06,4.2319689777279795e-05,7.422204650835158e-05,0.004277284597853065,0.0042776020902343505,0.2,7.347365156125193e-05,3.51272720137613e-06,1.351888436297125e-15,3.379721090742805e-15,3.379721090742805e-15,2,4,1,2,False,nan,0,True,False,False
baseline,test,cooling_high_nominal,20.0,R0,0.3477618347210476,0.0008174764916357967,0.1742896556063417,0.016523585130152233,0.004206920767943446,0.0042776020902343505,0.5882176467941096,0.33707635620923737,0.016683526067265482,4.123499280507788e-16,0.3289092734031117,0.3289092734031117,0,1,1,2,False,nan,0,True,False,False
baseline,test,cooling_high_nominal,20.0,R1,0.016821566946293998,0.0008174764916357967,0.008819521718964897,0.016523585130152233,0.004206920767943446,0.0042776020902343505,0.5882176467941096,0.016063761504999927,0.0007703387050843396,4.123499280507788e-16,3.848599328473922e-15,3.848599328473922e-15,1,2,1,2,False,nan,0,True,False,False
baseline,test,cooling_high_nominal,20.0,R2,0.0007787049756780756,1.702107178411824e-05,0.00039786302373109693,0.0007707837248500598,0.004274304984161813,0.0042776020902343505,0.5882176467941096,0.0007426212096486188,3.560831822699591e-05,2.1645293381790004e-15,3.2467940072684967e-15,3.2467940072684967e-15,2,4,1,2,False,nan,0,True,False,False
20260809,test,cooling_high_nominal,20.0,N0,0.5064558216395049,0.0015810795939475378,0.2540184506167262,0.020012656030120056,0.004363208269499933,0.0042776020902343505,0.5599999999999999,0.4781174813133275,0.02177222908904694,7.951596022142778e-16,0.30166711685833547,0.30166711685833547,0,1,1,2,False,nan,0,True,False,False
20260809,test,cooling_high_nominal,20.0,N1,0.020965301960929352,0.0015810795939475378,0.011273190777438446,0.020012656030120056,0.004363208269499933,0.0042776020902343505,0.5882176467941096,0.02001413251593353,0.0009581285981328165,7.951596022142778e-16,3.710744810333284e-15,3.710744810333284e-15,1,2,1,2,False,nan,0,True,False,False
20260809,test,cooling_high_nominal,20.0,N2,0.0009661887899062304,4.3169056505482455e-05,0.0005046789232058564,0.0009290978157592133,0.004281576400993074,0.0042776020902343505,0.5882176467941096,0.0009221574301592514,4.416619371696342e-05,1.8907466463397564e-15,3.106226633272453e-15,3.106226633272453e-15,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_localized-sink,20.0,A1,0.0009068607451776647,0.00017972180959915297,0.0005432912773884088,0.0005208316922763867,3.438385435860661e-05,3.4365955479857344e-05,0.0,0.0009050306688951576,4.28419003516201e-06,7.883076175650724e-15,1.1067838950601453e-12,1.1067838950601453e-12,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_localized-sink,20.0,A2,2.420155263905858e-06,5.930289057684539e-07,1.5065920848371559e-06,2.366658069358884e-06,3.436603681232319e-05,3.4365955479857344e-05,0.0,2.421633357847566e-06,1.1453475372494702e-08,9.201690476226553e-16,1.285213254085021e-12,1.285213254085021e-12,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_localized-sink,20.0,R0,0.2519055679794802,0.00013513271091364676,0.12602035034519693,0.00025147535014912354,3.435731328916984e-05,3.4365955479857344e-05,0.01999999999999997,0.25131003227023624,0.0011871278588231988,2.1037775632808635e-15,0.16156399257304477,0.16156399257304477,0,1,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_localized-sink,20.0,R1,0.000984066022130643,0.00013513271091364676,0.0005595993665221449,0.00025147535014912354,3.435731328916984e-05,3.4365955479857344e-05,0.0,0.0009812227034089259,4.6450577446370525e-06,2.1037775632808635e-15,1.058726058719976e-12,1.058726058719976e-12,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_localized-sink,20.0,R2,3.3024760566464883e-06,4.937633562437559e-07,1.898119706445122e-06,7.641800375671683e-07,3.4365929218080194e-05,3.4365955479857344e-05,0.0,3.281133566573697e-06,1.5528369665454802e-08,6.572656632322685e-16,1.2085801015500356e-12,1.2085801015500356e-12,2,4,1,2,False,nan,0,True,False,False
20260809,train,cooling_low_localized-sink,20.0,N0,0.006148594839871529,6.311331597621045e-06,0.003077453085734575,1.9934475092038666e-06,3.436588697312899e-05,3.4365955479857344e-05,0.01999999999999997,0.0061558670433064355,2.914399151137012e-05,1.3145329423783582e-16,0.00018382381245678726,0.00018382381245678726,0,1,1,2,False,nan,0,True,False,False
20260809,train,cooling_low_localized-sink,20.0,N1,1.4309418942793547e-05,6.311331597621045e-06,1.0310375270207295e-05,1.9934475092038666e-06,3.436588697312899e-05,3.4365955479857344e-05,0.0,1.4318070390776698e-05,6.777777161934917e-08,1.3145329423783582e-16,1.150084871285503e-12,1.150084871285503e-12,1,2,1,2,False,nan,0,True,False,False
