case_id,split,contact_overlap_nm,branch,branch_value,level,device_voltage_V,state_coordinate,thermal_condition,sink_amplitude,reference_npz
g010nm_heating_low_nominal,train,10.0,heating,1.0,low,0.75,0.08,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_low_nominal.npz
g010nm_heating_low_localized-sink,train,10.0,heating,1.0,low,0.75,0.08,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_low_localized-sink.npz
g010nm_heating_near-transition_nominal,train,10.0,heating,1.0,near-transition,1.15,0.48,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_near-transition_nominal.npz
g010nm_heating_near-transition_localized-sink,train,10.0,heating,1.0,near-transition,1.15,0.48,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_near-transition_localized-sink.npz
g010nm_heating_high_nominal,train,10.0,heating,1.0,high,1.5,0.88,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_high_nominal.npz
g010nm_heating_high_localized-sink,train,10.0,heating,1.0,high,1.5,0.88,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_heating_high_localized-sink.npz
g010nm_cooling_low_nominal,train,10.0,cooling,-1.0,low,0.75,0.16,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_low_nominal.npz
g010nm_cooling_low_localized-sink,train,10.0,cooling,-1.0,low,0.75,0.16,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_low_localized-sink.npz
g010nm_cooling_near-transition_nominal,train,10.0,cooling,-1.0,near-transition,1.15,0.62,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_near-transition_nominal.npz
g010nm_cooling_near-transition_localized-sink,train,10.0,cooling,-1.0,near-transition,1.15,0.62,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_near-transition_localized-sink.npz
g010nm_cooling_high_nominal,train,10.0,cooling,-1.0,high,1.5,0.94,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_high_nominal.npz
g010nm_cooling_high_localized-sink,train,10.0,cooling,-1.0,high,1.5,0.94,localized-sink,1.5,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g010nm_cooling_high_localized-sink.npz
g020nm_heating_low_nominal,train,20.0,heating,1.0,low,0.75,0.08,nominal,0.0,E:/Python demo/PINN/data/processed/q2_m1_latent_neural_value_geometry_admission_v1/Q2-M1-LATENT-NEURAL-VALUE-GEOMETRY-ADMISSION-20260810-V1/cases/g020nm_heating_low_nominal.npz
