case_id,split,contact_overlap_nm,iterations,solve_wall_time_s,converged,finite,scaled_nonlinear_residual,current_imbalance,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,source_current_A,Tmax_K,Tmean_K,hotspot_x_m,hotspot_y_m,hotspot_lateral_shift_width_fraction,chi_2d,conservative_face_quantities_finite,conservative_potential_relative_l2,conservative_source_current_relative_error,conservative_terminal_electrical_heat_ledger_error,conservative_electrical_heat_sink_ledger_error,conservative_reconstruction_gate_pass,reference_gate_pass
g010nm_heating_low_nominal,train,10.0,29,0.19750769998063333,True,True,9.32223067627302e-08,1.5037020275359615e-16,4.00987207342923e-16,2.9558824719101333e-08,2.253193602837097e-05,325.0829714075567,325.08236868763726,9.499999999999999e-08,9e-08,0.32,7.717319691732117e-13,True,7.709128302899233e-16,1.0525914192751733e-15,1.4034552257002304e-15,2.9558825120088533e-08,True,True
g010nm_heating_low_localized-sink,train,10.0,39,0.24162640000577085,True,True,7.603049742441645e-08,3.760824038629633e-16,8.023091282409882e-16,1.2142298638098073e-08,2.2522535980251337e-05,325.08296755515113,325.07316956139016,5e-09,1e-08,0.48,0.18668802979560345,True,7.807056689264748e-16,2.4069273847229646e-15,1.6046182564819777e-15,1.214229783578896e-08,True,True
g010nm_heating_near-transition_nominal,train,10.0,33,0.1886464999988675,True,True,6.956493638902117e-08,1.0129303477840394e-15,1.4413238150286712e-15,5.5543880278059985e-08,0.00029434955531323654,326.6679635116309,326.64994674928585,9.499999999999999e-08,9e-08,0.32,3.7349727939631906e-14,True,1.1089685121915185e-15,2.210029849710629e-15,9.608825433524487e-16,5.554388091864834e-08,True,True
g010nm_heating_near-transition_localized-sink,train,10.0,39,0.27086469999630935,True,True,8.108068294284551e-08,4.626127478029273e-16,9.654526910669782e-16,1.4066441317736936e-08,0.0002929561976066031,326.6678564838951,326.4597992601922,9.499999999999999e-08,1e-08,0.48,0.18884457523703302,True,7.366568744205652e-16,2.2205411894540516e-15,1.2872702547559693e-15,1.4066440835010603e-08,True,True
g010nm_heating_high_nominal,train,10.0,42,0.23816040001111105,True,True,1.2485966848965834e-08,1.9569931647181332e-16,1.0437296878496708e-15,1.0418960809295524e-08,0.003324085720989208,350.33038075176444,349.3067621463557,5e-09,1.7000000000000001e-07,0.15999999999999998,2.8794402236172488e-15,True,1.4284054854799551e-15,4.56631738434231e-15,3.653053907473851e-15,1.0418961505115315e-08,True,True
g010nm_heating_high_localized-sink,train,10.0,43,0.2549592000141274,True,True,2.265905111438311e-08,9.248785325711377e-16,1.4093387162988758e-15,2.530304175421102e-09,0.003282340303131548,350.32795654464576,346.38212750966426,5e-09,1e-08,0.48,0.1903605086187541,True,1.2397271024468474e-15,3.699514130284555e-15,2.114008074448309e-15,2.5303036469190853e-09,True,True
g010nm_cooling_low_nominal,train,10.0,30,0.17479429999366403,True,True,6.555626343991054e-08,1.1824075536892747e-15,2.102057873225376e-15,2.308724268052423e-08,3.438542095011919e-05,325.12665343904456,325.12570091629607,9.499999999999999e-08,9e-08,0.32,5.139750281023877e-13,True,7.827615076048707e-16,1.7736113305339143e-15,5.255144683063438e-16,2.3087243206038695e-08,True,True
g010nm_cooling_low_localized-sink,train,10.0,39,0.1887496999988798,True,True,7.61315573991149e-08,6.901383608291003e-16,1.5774591104665138e-15,1.2231009156652993e-08,3.436546041960052e-05,325.12664747126826,325.111646119411,9.499999999999999e-08,1e-08,0.48,0.186752840825853,True,5.669796019385952e-16,0.0,1.4460041845943043e-15,1.2231008499378375e-08,True,True
g010nm_cooling_near-transition_nominal,train,10.0,34,0.14956969997729175,True,True,8.777925544158569e-08,6.051587581724934e-16,9.021000121825987e-16,7.481565488796369e-08,0.0006270598504033592,328.56962560501245,328.5149865841387,5e-09,1.8999999999999998e-07,0.12,1.7972501044327128e-14,True,8.579681890926283e-16,6.916100093399928e-16,1.653850022334764e-15,7.481565533901368e-08,True,True
g010nm_cooling_near-transition_localized-sink,train,10.0,39,0.20841540000401437,True,True,8.820929491318649e-08,1.7417114576520274e-16,3.029063404612221e-16,1.4579403407104718e-08,0.0006224924155618173,328.5693600205827,328.1030642603553,5e-09,1e-08,0.48,0.18991259655837703,True,7.985398231812572e-16,1.0450268745912165e-15,6.058126809224437e-16,1.4579402649838886e-08,True,True
g010nm_cooling_high_nominal,train,10.0,38,0.2123661999939941,True,True,1.3837846665652212e-08,2.433707961762641e-15,4.3265919320224615e-15,5.6512099606266615e-09,0.0042767419178439585,357.9517597232855,356.274345485616,9.499999999999999e-08,5.0000000000000004e-08,0.39999999999999997,2.142015430530586e-15,True,1.1912269084975136e-15,4.056179936271058e-15,0.0,5.651210366244655e-09,True,True
g010nm_cooling_high_localized-sink,train,10.0,42,0.18082829998456873,True,True,2.4570745484584995e-08,1.0197864225575504e-16,1.3597152300767337e-16,5.045351828833387e-09,0.004252663689192504,357.9495835742985,352.71691436680567,5e-09,1e-08,0.48,0.1846004771607827,True,8.586895881533914e-16,2.243530129626611e-15,2.1755443681227692e-15,5.045351284947301e-09,True,True
g020nm_heating_low_nominal,train,20.0,29,0.1238422000024002,True,True,9.407704803918176e-08,1.0525752703475487e-15,1.804414749167225e-15,4.5577191074333484e-08,2.2532281720137047e-05,325.0832377930784,325.0827069668193,5e-09,2.9e-07,0.07999999999999996,1.8930139659266927e-12,True,8.457749088965686e-16,6.014715830557428e-16,1.4034336937967307e-15,4.5577191274824005e-08,True,True
g020nm_heating_low_localized-sink,train,20.0,39,0.2160448000067845,True,True,7.601107779780069e-08,8.273727210615166e-16,1.604601640846576e-15,1.1930963208613522e-08,2.2522769200906616e-05,325.0832226308719,325.07339777233045,9.499999999999999e-08,1e-08,0.48,0.18411923033256053,True,7.204377123706014e-16,1.5043140382936651e-15,4.0115041021164442e-16,1.193096280746312e-08,True,True
g020nm_heating_near-transition_nominal,validation,20.0,33,0.15728360001230612,True,True,7.292613962033759e-08,5.524106626785695e-16,4.803570979813646e-16,6.108353996906692e-08,0.00029440113462736553,326.67038697125923,326.65698468522834,5e-09,2.9e-07,0.07999999999999996,9.509914981685595e-14,True,7.548020231175855e-16,9.206844377976153e-16,3.202380653209099e-16,6.108354060954305e-08,True,True
g020nm_heating_near-transition_localized-sink,train,20.0,39,0.20758220000425354,True,True,8.104279830794702e-08,5.550700128119207e-16,9.653391527163835e-16,1.3696494926955048e-08,0.00029299065364558083,326.6700100518372,326.4644979215521,9.499999999999999e-08,1e-08,0.48,0.18632870463406723,True,9.43094628375936e-16,2.960373401663579e-15,1.930678305432763e-15,1.3696494766065195e-08,True,True
g020nm_heating_high_nominal,train,20.0,42,0.24314099998446181,True,True,1.3423180054101665e-08,3.2601496927174653e-16,1.7387465027826475e-16,1.0983427622798711e-08,0.0033256208293361493,349.9778420305667,349.41712098599123,5e-09,2.9e-07,0.07999999999999996,7.228269972540243e-15,True,7.462888701521298e-16,1.3040598770869855e-15,1.390997202226116e-15,1.0983427970548012e-08,True,True
g020nm_heating_high_localized-sink,validation,20.0,43,0.21010959998238832,True,True,2.2253020310397613e-08,1.3208514049233598e-16,5.283405619693436e-16,2.3630602186045286e-09,0.0032833433600304596,349.9701328826195,346.45029865913176,9.499999999999999e-08,1e-08,0.48,0.1882812969299535,True,6.530161783426645e-16,1.0566811239386879e-15,5.283405619693434e-16,2.363059690263969e-09,True,True
g020nm_cooling_low_nominal,train,20.0,30,0.1906996000034269,True,True,6.639067133967793e-08,9.853185872295348e-16,1.839261362828463e-15,3.3759326093137846e-08,3.438615522867343e-05,325.12704347376,325.12621790071915,5e-09,2.9e-07,0.07999999999999996,1.1873729644620998e-12,True,8.378725124906156e-16,2.7588920442427e-15,7.8825486978362635e-16,3.375932661864109e-08,True,True
g020nm_cooling_low_localized-sink,train,20.0,39,0.21779700001934543,True,True,7.610893114074581e-08,3.9435909657778184e-16,2.6290606438518793e-16,1.201390864804708e-08,3.436595547985731e-05,325.1270201279536,325.1119946526757,9.499999999999999e-08,1e-08,0.48,0.18418878205937325,True,7.696786137447302e-16,9.85897741444455e-16,5.258121287703755e-16,1.2013908253687992e-08,True,True
