case_id,finite,phi_relative_l2,mapped_temperature_relative_l2,terminal_current_relative_error,internal_joule_relative_error,contact_joule_relative_error,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,fixed_point_map_defect
cooling_high_localized-sink,True,7.886996606978124e-16,4.450413646088553e-10,1.631435309465943e-15,3.542684214078234e-15,7.928003572663294e-15,0.0,7.477411835052196e-15,5.516652252820616e-09
cooling_high_nominal,True,2.128716120752171e-15,5.812180726393709e-10,6.083046433668322e-15,7.78893037428279e-15,1.2496308661497789e-14,2.8387550023785333e-15,8.245907387861409e-15,6.5936150491066564e-09
cooling_low_localized-sink,True,5.439184459412611e-16,4.328324100850185e-12,9.85897741444455e-16,2.9981284500206582e-15,7.111936992234656e-15,5.258121287703755e-16,1.4440115586335592e-12,1.2286309124632179e-08
cooling_low_nominal,True,8.357419507470578e-16,1.4122383004361905e-11,4.3354017838099574e-15,4.041557031439672e-15,1.1199700741239276e-14,2.3647646093508753e-15,1.913488696396093e-12,3.637743320235259e-08
cooling_near-transition_localized-sink,True,6.247402669712823e-16,2.0166842208962817e-10,8.706988968489488e-16,3.769526844181628e-15,1.0963304387811234e-14,9.0855537062499e-16,5.224193381093419e-14,2.0771344239284063e-08
cooling_near-transition_nominal,True,7.422414369582295e-16,8.630758198044333e-10,1.3828456743345493e-15,3.569235121397953e-15,8.968810330649385e-15,0.0,7.034475821614397e-14,8.031471114673611e-08
heating_high_localized-sink,True,6.100227349518387e-16,5.130994910232546e-10,1.3208514049233598e-16,3.4864451905403198e-15,7.1000877305708436e-15,5.283405619693436e-16,8.453448991509426e-15,8.091737718587584e-09
heating_high_nominal,True,6.153650838911666e-16,7.67942754356124e-10,1.3040598770869854e-16,3.6188413563094594e-15,8.069073392183842e-15,1.7387465027826475e-16,1.07802283172523e-14,1.0987520343777472e-08
heating_low_localized-sink,True,5.867753663925844e-16,2.8196755382455153e-12,3.00862807658733e-16,3.3915773904018957e-15,9.337988110213758e-15,8.023008204232883e-16,2.355154058347018e-12,1.221152858883136e-08
heating_low_nominal,True,8.815459222231374e-16,1.2734963054583748e-11,9.022073745836142e-16,4.050250057209725e-15,7.65966693902723e-15,1.0024526384262362e-15,2.775189884211491e-12,5.005445482806109e-08
heating_near-transition_localized-sink,True,8.483935360718376e-16,7.443191625963015e-11,3.330420076871526e-15,4.067188330226131e-15,1.0216673574766792e-14,2.2524580230048898e-15,1.1294468086780412e-13,1.621917379226871e-08
heating_near-transition_nominal,True,9.036121350701983e-16,3.104698724249134e-10,9.206844377976153e-16,4.317118000856248e-15,1.046519479485396e-14,6.404761306418196e-16,1.4875058134154048e-13,6.12043793676588e-08
