split,case_id,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,additional_iterations,total_nonlinear_iterations,electrical_linear_solve_count,thermal_linear_solve_count,linear_solve_count,factorization_count,converged,scaled_nonlinear_residual,finite,fast_case_pass,certified_case_pass,median_wall_time_s,timing_repeats,speedup_vs_cold
validation,heating_high_localized-sink,COLD,1.760243727760618e-14,6.377219476787135e-16,9.120079612642447e-15,9.245959834463509e-16,0.00328334336003046,0.003283343360030463,0.0,8.091742371446302e-09,7.732542232429426e-10,0.0,2.3630561679935738e-09,2.3630561679935738e-09,0,43,43,44,43,87,87,True,2.225301807458144e-08,True,False,False,0.4465038999915123,10,1.0
validation,heating_high_localized-sink,A2,0.0009475468047368813,0.0002128026808039855,0.0005801747427704334,0.00024270832058659368,0.0032841402547832852,0.003283343360030463,0.0,0.015993198032111616,0.0015209127022492417,2.46499101536067e-15,6.162477538401653e-15,6.162477538401653e-15,2,0,2,2,2,4,4,False,0.015993198032111616,True,False,False,0.015176400003838353,20,29.420936445967712
validation,heating_high_localized-sink,N0,0.2694093870877267,0.0020277542304197433,0.13571857065907322,0.022592146516816854,0.003357521134285289,0.003283343360030463,0.0,0.2453122158198508,0.023918669501940007,1.3777811320482429e-15,0.230823901780903,0.230823901780903,0,0,0,1,0,1,1,False,0.2453122158198508,True,False,False,0.005120199988596141,20,87.20438673996695
validation,heating_high_localized-sink,N1,0.0238021374372355,0.0020277542304197433,0.01291494583382762,0.022592146516816854,0.003357521134285289,0.003283343360030463,0.0,0.022100793658356963,0.00210513878440927,1.3777811320482429e-15,7.233350943253233e-15,7.233350943253233e-15,1,0,1,1,1,2,2,False,0.022100793658356963,True,False,False,0.007301999983610585,20,61.14816502241782
validation,heating_high_localized-sink,N2,0.0018008830367316833,0.00017481305578921402,0.0009878480462604488,0.001996887056570947,0.003289899825888386,0.003283343360030463,0.0,0.022100793658356963,0.00210513878440927,5.272876281296413e-16,5.975926452135902e-15,5.975926452135902e-15,2,0,2,2,2,4,4,False,0.022100793658356963,True,False,False,0.014681399989058264,20,30.412896612331398
validation,heating_high_localized-sink,NC,8.402129665461061e-05,1.0936489093243344e-07,4.206533077277152e-05,7.763217471112192e-06,0.0032833688493389994,0.003283343360030463,0.0,7.638430057761874e-05,7.270971484385429e-06,1.5850093811355108e-15,8.304659995549524e-05,8.304659995549524e-05,2,8,10,11,10,21,21,False,0.00015694583325059656,True,False,False,0.07425619999412447,10,6.013018441919219
validation,cooling_near-transition_nominal,COLD,1.0308618135455637e-13,1.1385545468186972e-15,5.211236795068753e-14,4.148537023003654e-15,0.0006272295991422101,0.0006272295991422127,0.2,8.031473060050118e-08,5.035870512304895e-09,0.0,8.025605191698797e-08,8.025605191698797e-08,0,34,34,35,34,69,69,True,9.275419570082767e-08,True,False,False,0.2203511499974411,10,1.0
validation,cooling_near-transition_nominal,A2,0.0002486011179015423,4.812640920513849e-06,0.00012670687941102808,0.00024828440417940504,0.000627073867814906,0.0006272295991422127,0.2,0.0037444580543213313,0.00023469174378123818,1.5034664115388793e-16,2.7513435331160742e-14,2.7513435331160742e-14,2,0,2,2,2,4,4,False,0.0037444580543213313,True,False,False,0.01310340000782162,20,16.816333918365473
validation,cooling_near-transition_nominal,N0,0.30294237141399094,0.0018165819336698956,0.15237947667383042,0.01606596381953742,0.0006373066471885745,0.0006272295991422127,0.5882176467941096,0.28412585247762656,0.018207121542456253,7.396631605621072e-16,0.1911168765340231,0.1911168765340231,0,0,0,1,0,1,1,False,0.28412585247762656,True,False,False,0.005166899994947016,20,42.64668373936676
validation,cooling_near-transition_nominal,N1,0.017590628898972588,0.0018165819336698956,0.009703605416321242,0.01606596381953742,0.0006373066471885745,0.0006272295991422127,0.5882176467941096,0.016569012004851842,0.001040235722135824,7.396631605621072e-16,2.633200851601032e-14,2.633200851601032e-14,1,0,1,1,1,2,2,False,0.016569012004851842,True,False,False,0.006956699988222681,20,31.674666202435603
