state_id,alias_point_ids,protocol_id,context_id,branch_label,device_voltage_V,roles,temperature_sha256,device_thermal_capacitance_J_K,cell_thermal_capacitance_J_K,eigenvalue_count,maximum_real_eigenvalue_per_s,spectral_radius_per_s,relative_stability_margin,stability_class,positive_real_eigenvalue_count,finite,manuscript_eligible,thermal_mass_interpretation,spectrum_origin
G0_heating_coarse_000,G0_heating_coarse_000,G0_heating,G0,heating,0.75,start_endpoint,9b41921f880d11aa0bc0e78b949ea8346232991ae172eb13c3c0dbd4edcccc97,4.96e-11,1.9840000000000002e-13,250,-4106039.3359100535,413089290.5628639,-0.009939834872783266,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
G0_heating_coarse_032,G0_heating_coarse_032,G0_heating,G0,heating,1.55,end_endpoint,5e7c73b005bcff3df15c8d9388df7e2bf9a933b403eba5315bd48704e2a8f48f,4.96e-11,1.9840000000000002e-13,250,-4061827.9526952957,413093896.4438083,-0.009832699024755046,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
G0_heating_coarse_008,G0_heating_coarse_008,G0_heating,G0,heating,0.95,protocol_quartile_1_interior,2afdf0aae6bf4a34a3034f24668a40c9a8ec7da626c0133c8d8a4e8eadbe4993,4.96e-11,1.9840000000000002e-13,250,-4098025.344968884,413090125.45954853,-0.00992041468047674,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,aggregation_repair_fixed_interior_probe
G0_heating_coarse_024,G0_heating_coarse_024,G0_heating,G0,heating,1.35,protocol_quartile_3_interior,6bbc75a527c5ea038d344447520ef165e3857930e77206d6a5b560caa81f9249,4.96e-11,1.9840000000000002e-13,250,-4075992.3638837873,413092420.82683116,-0.009867022870391632,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,aggregation_repair_fixed_interior_probe
G0_cooling_coarse_000,G0_cooling_coarse_000,G0_cooling,G0,cooling,1.55,start_endpoint,455caea3105759eb5086d36281aa5e5e279d2de38292f1f5bc627ed1322f934d,4.96e-11,1.9840000000000002e-13,250,-4284053.294055007,413076652.639666,-0.010371085527779905,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
G0_cooling_coarse_032,G0_cooling_coarse_032,G0_cooling,G0,cooling,0.75,end_endpoint,884737f4e25de5f6974d77d8623510018cf681c0fa60ea77c424e3ef81eae520,4.96e-11,1.9840000000000002e-13,250,-3995780.9602386267,413100755.44976884,-0.00967265469144003,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
G0_cooling_coarse_008,G0_cooling_coarse_008,G0_cooling,G0,cooling,1.35,protocol_quartile_1_interior,e1327d9ff26bdb71eb86faa6ccdac9f66667121118481c3fb272f6f5a79100a2,4.96e-11,1.9840000000000002e-13,250,-4245130.313692032,413079347.13009894,-0.010276791476469127,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,aggregation_repair_fixed_interior_probe
G0_cooling_coarse_024,G0_cooling_coarse_024,G0_cooling,G0,cooling,0.95,protocol_quartile_3_interior,5c4b29e8ed224c0e461b934c6dc0536d47349b861cee085948d12507212fe51f,4.96e-11,1.9840000000000002e-13,250,-3757245.209216575,413106191.0571005,-0.009095107482175789,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,aggregation_repair_fixed_interior_probe
G0_cooling_event_refine_02,G0_cooling_event_refine_02|G0_cooling_half_refine_01,G0_cooling,G0,cooling,0.84375,last_pre_switch|half_step_pre_switch,dddab6378289570e4f0712cc5aa1e44b3d0dae962483bcf902a8f22188f90ed2,4.96e-11,1.9840000000000002e-13,250,-721166.272344277,413305418.6201948,-0.0017448749516806835,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
G0_cooling_event_reachability_confirmation,G0_cooling_event_reachability_confirmation|G0_cooling_half_refine_02,G0_cooling,G0,cooling,0.840625,first_post_switch|half_step_post_switch,0d82c39a9a1b50e27d4db9b9a74d2ba595cdce5ce0abd85c00668a53c0f36053,4.96e-11,1.9840000000000002e-13,250,-3961613.1832515746,413104308.37864065,-0.009589861695706314,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,reused_from_initial_formal_execution
