point_id,protocol_id,context_id,branch_label,branch_value,device_voltage_V,point_kind,role,sequence_index,count_in_main_ramp,initial_state_provenance,previous_point_id,temperature_sha256,valid,accepted,converged,finite,iterations,scaled_nonlinear_residual,current_imbalance,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,terminal_current_A,ground_current_A,Tmean_K,Tmax_K,mean_effective_state,transition_fraction,hotspot_x_m,hotspot_y_m,jump_mean_state_change,jump_terminal_current_relative,jump_temperature_rise_relative,jump_candidate,stability_class,stability_evaluated,manuscript_eligible,npz_record_index
G0_heating_coarse_000,G0_heating,G0,heating,1.0,0.75,coarse,start_endpoint,0,True,uniform_325K,,9b41921f880d11aa0bc0e78b949ea8346232991ae172eb13c3c0dbd4edcccc97,True,True,True,True,38,8.283245372705328e-08,2.255449654342073e-16,3.0072662057894307e-16,8.271199978661617e-08,1.5021979242562774e-05,1.5021979242562777e-05,325.0551396240465,325.055489164079,0.003208531163375089,0.0,5e-09,3.8999999999999997e-07,,,,False,stable,True,True,0
G0_heating_coarse_001,G0_heating,G0,heating,1.0,0.775,coarse,coarse,1,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_000,aa4d8865337e9ad2f3507ecef1bea1189ecccc7a16a2dd0efb903eb4089fc5a3,True,True,True,True,32,6.947208259787837e-08,1.7457763848051872e-15,1.2670957631650559e-15,6.936623356008281e-08,1.552607455803238e-05,1.5526074558032406e-05,325.05888962015206,325.05926289239164,0.0032146055403278603,0.0,5e-09,3.8999999999999997e-07,6.0743769527710906e-06,0.03246766035970198,0.06367838510881554,False,not_evaluated,False,False,1
G0_heating_coarse_002,G0_heating,G0,heating,1.0,0.8,coarse,coarse,2,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_001,d89640897ed0bbfa9d43b4b76b593cc2d9ac46ab1bbdfb616d2ebcad43233d54,True,True,True,True,32,6.760503340682675e-08,4.227105783367049e-16,2.641941114604406e-16,6.74930357210283e-08,1.6030503908129905e-05,1.603050390812991e-05,325.0627642788,325.06316206686404,0.0032208938914641844,0.0,5e-09,3.8999999999999997e-07,6.288351136324137e-06,0.031466843025546004,0.06173349726004946,False,not_evaluated,False,False,2
G0_heating_coarse_003,G0_heating,G0,heating,1.0,0.825,coarse,coarse,3,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_002,4d9f671d4e481da62d39c19415a59b9612c44acc01149808613f295fef156fbb,True,True,True,True,32,6.584838511863225e-08,2.458838610329271e-15,1.3660214501829284e-15,6.574081227022695e-08,1.653527860568361e-05,1.653527860568357e-05,325.06676376889953,325.067186856949,0.0032273976978513474,0.0,5e-09,3.8999999999999997e-07,6.503806387162924e-06,0.030527135925015655,0.059905094173015594,False,not_evaluated,False,False,3
G0_heating_coarse_004,G0_heating,G0,heating,1.0,0.85,coarse,coarse,4,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_003,3bacc5fec32f28ac1a72d7711e6c97d4761f1e5b28239f1ef47533e9b53a9938,True,True,True,True,31,9.849136499746061e-08,3.7777555786727645e-15,3.157876180314695e-15,9.839898072856635e-08,1.7040410013488343e-05,1.704041001348828e-05,325.07088826204705,325.07133743478613,0.0032341184900819124,0.0,5e-09,3.8999999999999997e-07,6.720792230564994e-06,0.029643148692132106,0.05818301604892779,False,not_evaluated,False,False,4
G0_heating_coarse_005,G0_heating,G0,heating,1.0,0.875,coarse,coarse,5,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_004,6b0fecf81f035e91ffd110bee0f580a1af30b6bf3363ca3915238db0b7d42dfa,True,True,True,True,31,9.61221023174275e-08,2.510312338953345e-15,1.1034339951443276e-15,9.602175733506458e-08,1.7545909556253918e-05,1.7545909556253874e-05,325.0751379428766,325.0756139856155,0.0032410578658212995,0.0,5e-09,3.7e-07,6.939375739387164e-06,0.028810107629068365,0.056558382934304485,False,not_evaluated,False,False,5
G0_heating_coarse_006,G0_heating,G0,heating,1.0,0.9,coarse,coarse,6,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_005,31530cdd518b38cc28052e2a458057825b0249e1bf23744220d09b1696e46b96,True,True,True,True,31,9.38921928348528e-08,9.384476640261318e-16,2.0854392533914042e-16,9.378799386418634e-08,1.8051788708607495e-05,1.8051788708607478e-05,325.07951299470403,325.0800166933331,0.003248217467125264,0.0,5e-09,3.8999999999999997e-07,7.159601303964591e-06,0.028023768753307133,0.055023100743623814,False,not_evaluated,False,False,6
G0_heating_coarse_007,G0_heating,G0,heating,1.0,0.925,coarse,coarse,7,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_006,d2c7efd8baa97299c4e6c9a3a91bda58a4e40d0a824407fac23a9bcbe3e03048,True,True,True,True,31,9.177363475757557e-08,1.0954157828279856e-15,5.92116639366479e-16,9.168601246452685e-08,1.8558059006253555e-05,1.8558059006253575e-05,325.0840136090867,325.0845457501094,0.0032555989967463983,0.0,5e-09,3.7e-07,7.381529621134156e-06,0.02728034744772935,0.05357005959760257,False,not_evaluated,False,False,7
G0_heating_coarse_008,G0_heating,G0,heating,1.0,0.95,coarse,protocol_quartile_1_interior,8,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_007,2afdf0aae6bf4a34a3034f24668a40c9a8ec7da626c0133c8d8a4e8eadbe4993,True,True,True,True,31,8.978860221355074e-08,3.5543450397171573e-16,0.0,8.970603479143152e-08,1.9064732045748813e-05,1.9064732045748807e-05,325.0886399835103,325.08920135406186,0.0032632042151340803,0.0,5e-09,3.8999999999999997e-07,7.605218387682008e-06,0.02657645742302682,0.05219285783402807,False,stable,True,True,8
G0_heating_coarse_009,G0_heating,G0,heating,1.0,0.975,coarse,coarse,9,True,immediately_preceding_accepted_protocol_equilibrium,G0_heating_coarse_008,a1875cb54bbd2425715ff2cb25078b2fff28928abcb8900953c723b1ca5eb939,True,True,True,True,31,8.790260893989538e-08,3.462255301652714e-16,1.7755155393090845e-16,8.783895708510819e-08,1.9571819486563392e-05,1.95718194865634e-05,325.0933923214364,325.09398370930234,0.0032710349413058236,0.0,5e-09,3.7e-07,7.8307261717433e-06,0.025909059766400806,0.05088574153009099,False,not_evaluated,False,False,9
