case_id,finite,local_current_balance_p95,local_energy_balance_p95,external_robin_residual_p95,thermal_contact_closure_p95,interface_flux_mismatch,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,source_current_A,ground_current_A,terminal_power_W,internal_joule_W,contact_joule_W,vertical_sink_W
cooling_high_localized-sink,True,6.2116257810188804e-15,1.9530454107233398e-08,4.752412750010776e-15,9.703758411112768e-17,2.934742622596936e-13,1.6314353094659431e-15,4.919482893656916e-09,0.004253244896470154,0.004253244896470145,0.0063798673447052305,0.006198959040066727,0.00018090830463849257,0.0063798673760908685
cooling_high_nominal,True,5.53558715944236e-15,1.3829269087574737e-08,4.752380026303347e-15,1.1700252446986138e-16,2.909939205284806e-13,3.2442914312897614e-15,6.461096279321969e-09,0.0042776020902343306,0.004277602090234355,0.006416403135351496,0.006233424338927745,0.00018297879642377213,0.006416403093894518
cooling_low_localized-sink,True,7.286819787853328e-15,6.041515024940585e-08,2.9905206244573793e-13,1.8396228164220758e-16,8.317920846781037e-11,1.3145303219259396e-16,1.2013908779500112e-08,3.436595547985731e-05,3.436595547985734e-05,2.5774466609892984e-05,2.5762656415818194e-05,1.1810194074794295e-08,2.5774466919545082e-05
cooling_low_nominal,True,5.873468913435878e-15,6.584420719042379e-08,2.792916326707944e-13,1.1467684441604934e-16,8.244693346317859e-10,1.839261362828463e-15,3.3759326093137846e-08,3.438615522867343e-05,3.4386155228673495e-05,2.578961642150507e-05,2.5777792344791013e-05,1.1824076714104273e-08,2.5789615550865047e-05
cooling_near-transition_localized-sink,True,6.033699099427065e-15,6.8539408089846e-08,3.168828151842371e-14,1.0682099159793649e-16,3.111029632355104e-12,0.0,1.4085184860751897e-08,0.0006226045401052086,0.0006226045401052086,0.0007159952211209899,0.0007121185918495551,3.876629271434768e-06,0.0007159952312059151
cooling_near-transition_nominal,True,6.000616725573331e-15,9.082839954035216e-08,1.4328117778017045e-14,1.3125626267193188e-16,1.0412872124389391e-11,1.3527838118490158e-15,8.025598307532253e-08,0.0006272295991422137,0.0006272295991422126,0.0007213140390135457,0.0007173798693131437,3.934169700401013e-06,0.0007213139811237774
heating_high_localized-sink,True,5.714262891132558e-15,1.7375558174910045e-08,5.725758184943993e-15,1.2595130736788566e-16,3.9064934840841704e-13,5.283405619693436e-16,2.3630602186045286e-09,0.0032833433600304596,0.0032833433600304605,0.0049250150400456895,0.004817189627360059,0.00010782541268563296,0.004925015051683799
heating_high_nominal,True,5.932931094236732e-15,1.2355317258207446e-08,5.90902131805038e-15,1.5132946709181707e-16,1.6166931616062159e-12,1.7387465027826475e-16,1.0983427622798711e-08,0.0033256208293361493,0.003325620829336147,0.004988431244004224,0.004877833704999078,0.00011059753900514448,0.004988431189214149
heating_low_localized-sink,True,4.989817198320998e-15,6.035492465965751e-08,3.8937665212725417e-13,1.403181864343228e-16,1.2289109570190573e-10,1.404026435740754e-15,1.1930963008038319e-08,2.2522769200906616e-05,2.252276920090658e-05,1.6892076900679963e-05,1.6887004148220646e-05,5.072752459292204e-09,1.6892077102218687e-05
heating_low_nominal,True,4.989204646132084e-15,9.331641043745359e-08,1.674076327018707e-13,1.7500449020752316e-16,1.3915228374128839e-09,1.6039242214819782e-15,4.557719087384296e-08,2.2532281720137047e-05,2.2532281720137094e-05,1.6899211290102787e-05,1.6894134252907658e-05,5.077037195156232e-09,1.6899210519884235e-05
heating_near-transition_localized-sink,True,5.28207109887257e-15,6.391625989591461e-08,6.790806616249966e-14,1.1307423459969027e-16,5.663984059870119e-12,9.653391527163835e-16,1.3696494926955048e-08,0.00029299065364558083,0.00029299065364558115,0.0003369392516924179,0.00033608079169428657,8.584599981316487e-07,0.00033693925630730505
heating_near-transition_nominal,True,5.031701344650312e-15,7.220728342179843e-08,4.8508561316461505e-14,1.397910236161842e-16,2.289073516819201e-11,6.404761306418194e-16,6.10835398089479e-08,0.00029440113462736553,0.0002944011346273652,0.00033856130482147034,0.00033769458454077135,8.667202806988009e-07,0.0003385612841409472
