model,step,stage,anchor_loss,constitutive_loss,local_current_cv_loss,local_energy_cv_loss,external_robin_loss,interface_state_loss,interface_flux_loss,port_loss,ledger_loss,total_loss,finite
B0-R,1,1,0.043816771475058476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21908385737529237,True
B0-R,5,1,0.03637574695041999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18187873475209998,True
B0-R,10,1,0.03000660683636854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500330341818427,True
B0-R,15,1,0.025434738596290786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12717369298145392,True
B0-R,20,1,0.02238491935849934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11192459679249671,True
B0-R,25,1,0.0201704058860012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085202943000598,True
B0-R,30,1,0.018326997311945033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09163498655972517,True
B0-R,35,1,0.017231867567880102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08615933783940051,True
B0-R,40,1,0.01646273092288559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231365461442794,True
B0-R,45,1,0.0154769138416756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077384569208378,True
B0-R,50,1,0.014437782103201277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07218891051600639,True
B0-R,55,1,0.013103034636852286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06551517318426142,True
B0-R,60,1,0.011510385636128016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05755192818064008,True
B0-R,65,1,0.009703544296029157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048517721480145784,True
B0-R,70,1,0.007839281625679411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03919640812839706,True
B0-R,75,1,0.006054644393780305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030273221968901524,True
B0-R,80,1,0.004506140257618214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02253070128809107,True
