case_id,branch_label,branch_value,voltage_level,device_voltage_V,state_coordinate,thermal_condition,sink_amplitude,split,full_field_npz,anchor_fraction,exposed_anchor_points,reference_valid,sentinel_refinement_npz,sentinel_current_relative_difference,sentinel_Tmax_difference_K,evidence_type
heating_low_nominal,heating-conditioned,1.0,low,0.75,0.08,nominal,0.0,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_low_nominal.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
heating_low_localized-sink,heating-conditioned,1.0,low,0.75,0.08,localized-sink,1.5,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_low_localized-sink.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
heating_near-transition_nominal,heating-conditioned,1.0,near-transition,1.15,0.48,nominal,0.0,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_near-transition_nominal.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
heating_near-transition_localized-sink,heating-conditioned,1.0,near-transition,1.15,0.48,localized-sink,1.5,test,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_near-transition_localized-sink.npz,0.01,0,True,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/sentinel_refinement/heating_near-transition_localized-sink_r2.npz,9.699741191083004e-05,0.0006062276004854539,literature-guided synthetic numerical digital-twin evidence
heating_high_nominal,heating-conditioned,1.0,high,1.5,0.88,nominal,0.0,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_high_nominal.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
heating_high_localized-sink,heating-conditioned,1.0,high,1.5,0.88,localized-sink,1.5,validation,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/heating_high_localized-sink.npz,0.01,0,True,,,,literature-guided synthetic numerical digital-twin evidence
cooling_low_nominal,cooling-conditioned,-1.0,low,0.75,0.16,nominal,0.0,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_low_nominal.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
cooling_low_localized-sink,cooling-conditioned,-1.0,low,0.75,0.16,localized-sink,1.5,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_low_localized-sink.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
cooling_near-transition_nominal,cooling-conditioned,-1.0,near-transition,1.15,0.62,nominal,0.0,validation,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_near-transition_nominal.npz,0.01,0,True,,,,literature-guided synthetic numerical digital-twin evidence
cooling_near-transition_localized-sink,cooling-conditioned,-1.0,near-transition,1.15,0.62,localized-sink,1.5,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_near-transition_localized-sink.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
cooling_high_nominal,cooling-conditioned,-1.0,high,1.5,0.94,nominal,0.0,test,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_high_nominal.npz,0.01,0,True,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/sentinel_refinement/cooling_high_nominal_r2.npz,4.3550783580465996e-07,0.02050087869457684,literature-guided synthetic numerical digital-twin evidence
cooling_high_localized-sink,cooling-conditioned,-1.0,high,1.5,0.94,localized-sink,1.5,train,data/processed/q2_mf_geostate_mc_pinn_fasttrack_v1/Q2-MF-GEOSTATE-MC-PINN-FASTTRACK-20260809-V1-R1/cases/cooling_high_localized-sink.npz,0.01,3,True,,,,literature-guided synthetic numerical digital-twin evidence
