case_id,source_current_A,ground_current_A,terminal_power_W,field_joule_power_W,sink_power_W,terminal_current_imbalance,terminal_field_joule_error,joule_sink_ledger_error,scaled_nonlinear_residual
heating_low_nominal,2.2532281720137047e-05,-2.2532281720137094e-05,1.6899211290102787e-05,1.6899211290102817e-05,1.6899210519884235e-05,1.0525752703475487e-15,1.804414749167225e-15,4.5577191074333484e-08,9.407704803918176e-08
heating_low_localized-sink,2.2522769200906616e-05,-2.252276920090658e-05,1.6892076900679963e-05,1.6892076900679936e-05,1.6892077102218687e-05,8.273727210615166e-16,1.604601640846576e-15,1.1930963208613522e-08,7.601107779780069e-08
heating_near-transition_nominal,0.00029440113462736553,-0.0002944011346273652,0.00033856130482147034,0.0003385613048214702,0.0003385612841409472,5.524106626785695e-16,4.803570979813646e-16,6.108353996906692e-08,7.292613962033759e-08
heating_near-transition_localized-sink,0.00029299065364558083,-0.00029299065364558115,0.0003369392516924179,0.00033693925169241823,0.00033693925630730505,5.550700128119207e-16,9.653391527163835e-16,1.3696494926955048e-08,8.104279830794702e-08
heating_high_nominal,0.0033256208293361493,-0.003325620829336147,0.004988431244004224,0.004988431244004223,0.004988431189214149,3.2601496927174653e-16,1.7387465027826475e-16,1.0983427622798711e-08,1.3423180054101665e-08
heating_high_localized-sink,0.0032833433600304596,-0.0032833433600304605,0.0049250150400456895,0.004925015040045692,0.004925015051683799,1.3208514049233598e-16,5.283405619693436e-16,2.3630602186045286e-09,2.2253020310397613e-08
cooling_low_nominal,3.438615522867343e-05,-3.4386155228673495e-05,2.578961642150507e-05,2.5789616421505118e-05,2.5789615550865047e-05,9.853185872295348e-16,1.839261362828463e-15,3.3759326093137846e-08,6.639067133967793e-08
cooling_low_localized-sink,3.436595547985731e-05,-3.436595547985734e-05,2.5774466609892984e-05,2.577446660989299e-05,2.5774466919545082e-05,3.9435909657778184e-16,2.6290606438518793e-16,1.201390864804708e-08,7.610893114074581e-08
cooling_near-transition_nominal,0.0006272295991422137,-0.0006272295991422126,0.0007213140390135457,0.0007213140390135446,0.0007213139811237774,8.642785464590941e-16,1.5030931242766841e-15,8.025598292501322e-08,9.275446740252386e-08
cooling_near-transition_localized-sink,0.0006226045401052086,-0.0006226045401052086,0.0007159952211209899,0.00071599522112099,0.0007159952312059151,0.0,1.51425895104165e-16,1.4085184709326004e-08,8.787228263776582e-08
cooling_high_nominal,0.0042776020902343306,-0.004277602090234355,0.006416403135351496,0.006416403135351517,0.006416403093894518,2.8387550023785424e-15,3.2442914312897614e-15,6.461096279321969e-09,1.538903238321041e-08
cooling_high_localized-sink,0.004253244896470154,-0.004253244896470145,0.0063798673447052305,0.00637986734470522,0.0063798673760908685,1.0196470684162154e-15,1.6314353094659431e-15,4.919482893656916e-09,2.4539927779765015e-08
