seed,mode,sample_id,context_id,protocol_id,branch_label,device_voltage_V,split,full_curve_test,headline_test,event_neighborhood,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,mean_state_absolute_error,predicted_mean_state,reference_mean_state,hotspot_coordinate_error,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,finite,practical_complete_case_pass
0,A1,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.02610239684787844,0.0002720502259014521,0.013187223536889947,0.0008936223999170926,0.004967175062964441,0.004971617812005075,1.0402883876547975e-07,0.9999997945386088,0.99999969050977,0.041666666666666664,0.00907291781955906,0.00031261955456943956,1.7461871727765454e-15,7.982569932692728e-15,1,2,1,2,False,True,True
0,A2,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.016936432212912515,0.0001785012003901825,0.008557466706651348,0.0005704477664366414,0.0049687817637286405,0.004971617812005075,7.441866511914697e-08,0.9999997649284351,0.99999969050977,0.041666666666666664,0.005905579440021926,0.00020270114839540632,2.119684497406847e-15,7.730614049366088e-15,2,4,1,2,False,True,True
0,R1,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.1613022717539275,0.0003526468195925786,0.08082745928676004,0.008060056592314997,0.004931546291084953,0.004971617812005075,2.810570304268012e-07,0.9999999715668004,0.99999969050977,0.20833333333333334,0.05286655238093349,0.001984278237049994,2.512575415476204e-16,7.663355017202366e-15,1,2,1,2,False,True,False
0,R2,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.1031041123234848,0.00023140926112049498,0.05166776079230265,0.005153446412456929,0.004945996846027691,0.004971617812005075,2.437402074617623e-07,0.9999999342499775,0.99999969050977,0.20833333333333334,0.0349492121886931,0.0012679325655130184,7.51570352165578e-16,8.016750423099434e-15,2,4,1,2,False,True,False
20260809,H0,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.9939447604810779,0.018105099870815728,0.5060249301759469,0.9896740553877768,5.133665015990683e-05,0.004971617812005075,0.8831427064842555,0.11685698402551443,0.99999969050977,1.0214708893442719,0.19781499035059522,0.016447509672912947,3.7713315963920746e-16,0.4133057101940328,0,1,1,2,False,True,False
20260809,H1,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.9924534885207342,0.018105099870815728,0.505279294195775,0.9896740553877768,5.133665015990683e-05,0.004971617812005075,0.8804598057745794,0.11953988473519062,0.99999969050977,1.0214708893442719,0.12006877377641499,0.011471866606185877,3.7713315963920746e-16,6.61868695166371e-13,1,2,1,2,False,True,False
20260809,H2,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.9914248000260044,0.01806167504075832,0.5047432375333814,0.989504328057803,5.218046957678829e-05,0.004971617812005075,0.8785782827972177,0.12142140771255228,0.99999969050977,1.0214708893442719,0.07659834625177431,0.007986134952911379,1.1131034218621121e-15,6.843730872077543e-13,2,4,1,2,False,True,False
20260809,S1,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.08199419308016193,0.00028547112869009583,0.04113983210442601,0.0038280703722956286,0.0049525861091565615,0.004971617812005075,2.0218037977137726e-07,0.9999998926901498,0.99999969050977,0.20833333333333334,0.028148729038934964,0.0010045832080160149,1.7513309589605823e-15,7.50570410983101e-15,1,2,1,2,False,True,False
20260809,S2,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.052497395903472896,0.0001875646207303956,0.026342480262101647,0.0024457751507727444,0.004959458352701334,0.004971617812005075,1.5440235168195926e-07,0.9999998449121217,0.99999969050977,0.20833333333333334,0.018323042020276258,0.0006431104273488753,8.744520835788107e-16,7.495303573532613e-15,2,4,1,2,False,True,False
20260809,G1,G0_cooling_coarse_006,G0,G0_cooling,cooling,1.4,validation,False,False,False,0.03123776182663354,0.0002917156365662084,0.015764738731599875,0.0009352274915819868,0.0049669682183496495,0.004971617812005075,2.849902747126265e-08,0.9999997190087975,0.99999969050977,0.20833333333333334,0.010831583117883795,0.0003731527237974207,2.1204584391468024e-15,7.608703811056133e-15,1,2,1,2,False,True,True
