seed,model,stage,step,learning_rate,coefficient,total,finite,elapsed_s,gradient_norm,one_projection_temperature,one_projection_potential,one_projection_current,one_projection_fixed_point_defect,two_projection_temperature,two_projection_potential,two_projection_current,two_projection_fixed_point_defect
20260809,H,1,1,0.001,1.0045676651238444,1.0045676651238444,True,3.78115299998899,,,,,,,,,
20260809,H,1,2,0.001,0.9997209437546828,0.9997209437546828,True,3.788001599983545,,,,,,,,,
20260809,H,1,3,0.001,0.9950108012881284,0.9950108012881284,True,3.793399899994256,,,,,,,,,
20260809,H,1,4,0.001,0.9904305833660575,0.9904305833660575,True,3.798043599992525,,,,,,,,,
20260809,H,1,5,0.001,0.9859738600082135,0.9859738600082135,True,3.803044400003273,,,,,,,,,
20260809,H,1,6,0.001,0.9816346306551589,0.9816346306551589,True,3.8083323999890126,,,,,,,,,
20260809,H,1,7,0.001,0.9774066846788427,0.9774066846788427,True,3.8123411999840755,,,,,,,,,
20260809,H,1,8,0.001,0.9732831913136366,0.9732831913136366,True,3.8161031999916304,,,,,,,,,
20260809,H,1,9,0.001,0.9692571472702859,0.9692571472702859,True,3.820571199990809,,,,,,,,,
20260809,H,1,10,0.001,0.9653217975705097,0.9653217975705097,True,3.825648199999705,,,,,,,,,
20260809,H,1,11,0.001,0.9614708206284803,0.9614708206284803,True,3.831376399990404,,,,,,,,,
20260809,H,1,12,0.001,0.9576983678771146,0.9576983678771146,True,3.8360514999949373,,,,,,,,,
20260809,H,1,13,0.001,0.9539990358663594,0.9539990358663594,True,3.8413947999943048,,,,,,,,,
20260809,H,1,14,0.001,0.9503678041820038,0.9503678041820038,True,3.846713799983263,,,,,,,,,
20260809,H,1,15,0.001,0.9467999663150848,0.9467999663150848,True,3.8510991999937687,,,,,,,,,
20260809,H,1,16,0.001,0.9432910793618731,0.9432910793618731,True,3.854303300002357,,,,,,,,,
20260809,H,1,17,0.001,0.9398369458175295,0.9398369458175295,True,3.85933879998629,,,,,,,,,
20260809,H,1,18,0.001,0.93643362504879,0.93643362504879,True,3.8647689999779686,,,,,,,,,
20260809,H,1,19,0.001,0.9330774635199882,0.9330774635199882,True,3.8701427999767475,,,,,,,,,
20260809,H,1,20,0.001,0.9297651321706574,0.9297651321706574,True,3.8758787999977358,,,,,,,,,
20260809,H,1,21,0.001,0.9264936622629444,0.9264936622629444,True,3.8813774999871384,,,,,,,,,
20260809,H,1,22,0.001,0.9232604745381429,0.9232604745381429,True,3.8862338999751955,,,,,,,,,
