point_id,protocol_id,context_id,branch_label,branch_value,device_voltage_V,point_kind,role,sequence_index,count_in_main_ramp,initial_state_provenance,previous_point_id,temperature_sha256,valid,accepted,converged,finite,iterations,scaled_nonlinear_residual,current_imbalance,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,terminal_current_A,ground_current_A,Tmean_K,Tmax_K,mean_effective_state,transition_fraction,hotspot_x_m,hotspot_y_m,jump_mean_state_change,jump_terminal_current_relative,jump_temperature_rise_relative,jump_candidate,stability_class,stability_evaluated,manuscript_eligible,npz_record_index,source_role,historical_protocol_reused
G2_heating_coarse_000,G2_heating,G2,heating,1.0,0.75,coarse,start_endpoint,0,True,uniform_325K,,696741dbd7e2e38d697d276636b899441ae0e621693085b68ae7d4cc3c589e8b,True,True,True,True,38,8.311929298131364e-08,2.369070144290731e-15,1.654588672203051e-15,8.213844868113514e-08,1.5016602134138728e-05,1.5016602134138763e-05,325.0489359576362,325.0554790862631,0.0031985516764242907,0.0,9.499999999999999e-08,1e-08,,,,False,stable,True,True,0,new_factorial_context_execution,False
G2_heating_coarse_001,G2_heating,G2,heating,1.0,0.775,coarse,coarse,1,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_000,9dd369c774c059a66848df519f7804a5db4d1dbc85f603fe597ada6a392c09fb,True,True,True,True,32,6.96959597980437e-08,8.732221435854806e-16,7.042114061173232e-16,6.891290386069062e-08,1.5520136835309346e-05,1.5520136835309333e-05,325.05226278771386,325.05925211492206,0.0032039295488455076,0.0,9.499999999999999e-08,1e-08,5.377872421216852e-06,0.03244396016052149,0.06365711350452283,False,not_evaluated,False,False,1,new_factorial_context_execution,False
G2_heating_coarse_002,G2_heating,G2,heating,1.0,0.8,coarse,coarse,2,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_001,a8a78ce599a1409d98323643d0e19df49c7dbc68f979b246efa73fe856608b6a,True,True,True,True,32,6.783282400072925e-08,6.343245164541794e-16,1.321509409279541e-16,6.702274466311437e-08,1.602396739112294e-05,1.602396739112295e-05,325.0557000433809,325.063150564557,0.0032094958228056835,0.0,9.499999999999999e-08,1e-08,5.566273960175977e-06,0.031442310353970666,0.0617114607405218,False,not_evaluated,False,False,2,new_factorial_context_execution,False
G2_heating_coarse_003,G2_heating,G2,heating,1.0,0.825,coarse,coarse,3,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_002,5f2b94a38c5a15b5ae7f60a9a7ad1c930e8efe1aa0debb66b3003d2c3038ec84,True,True,True,True,32,6.608871803024821e-08,1.4349451606083974e-15,8.696637337020592e-16,6.525329580453187e-08,1.65281037730144e-05,1.6528103773014377e-05,325.0592478576545,325.0671746043973,0.0032152517032583905,0.0,9.499999999999999e-08,1e-08,5.7558804527069185e-06,0.030501767705171944,0.05988229026238178,False,not_evaluated,False,False,3,new_factorial_context_execution,False
G2_heating_coarse_004,G2_heating,G2,heating,1.0,0.85,coarse,coarse,4,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_003,4c4c4ba2dbe4e3addb414dbec8ab320f86646bf49dbe2b3fa7e2dcda73906531,True,True,True,True,31,9.893475738983444e-08,1.5913673981251992e-15,8.190861607997355e-16,9.764742499492874e-08,1.7032555991828297e-05,1.7032555991828324e-05,325.0629063653552,325.07132440635115,0.003221198434706621,0.0,9.499999999999999e-08,1e-08,5.946731448230706e-06,0.029616941758824518,0.05815944254253432,False,not_evaluated,False,False,4,new_factorial_context_execution,False
G2_heating_coarse_005,G2_heating,G2,heating,1.0,0.875,coarse,coarse,5,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_004,564a6406428b71375c42714c337a0c64bdc62a0bc22ce563e25ab4df55b101fc,True,True,True,True,31,9.657292082824649e-08,1.9319537212002033e-16,6.623841329829266e-16,9.524403674187267e-08,1.753733410815019e-05,1.7537334108150192e-05,325.0666757122151,325.07560015541753,0.0032273373165253335,0.0,9.499999999999999e-08,1e-08,6.138881818712385e-06,0.028783058656977077,0.056534036876034886,False,not_evaluated,False,False,5,new_factorial_context_execution,False
G2_heating_coarse_006,G2_heating,G2,heating,1.0,0.9,coarse,coarse,6,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_005,ef5ebf892913dfc6fb49bade524cd34642f61041279cb75a200a5dc8e863c7e6,True,True,True,True,31,9.43550752217872e-08,2.0656536863251693e-15,2.503822650091114e-15,9.298359668570832e-08,1.8042448221556517e-05,1.804244822155648e-05,325.07055604222336,325.08000203524466,0.0032336696829313076,0.0,9.499999999999999e-08,1e-08,6.33236640597409e-06,0.027995874351621264,0.05499797976354191,False,not_evaluated,False,False,6,new_factorial_context_execution,False
G2_heating_coarse_007,G2_heating,G2,heating,1.0,0.925,coarse,coarse,7,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_006,090d74c410bc36beb7e28948d0cfca69b09b8aa7b2cb7696c51ee0e33cb41733,True,True,True,True,31,9.226699785757271e-08,1.826692099880368e-15,1.3823615890986575e-15,9.085498930871454e-08,1.8547908480247367e-05,1.85479084802474e-05,325.0745475060424,325.084530237746,0.003240196917214789,0.0,9.499999999999999e-08,1e-08,6.5272342834811654e-06,0.027251604094830448,0.053544161023467624,False,not_evaluated,False,False,7,new_factorial_context_execution,False
G2_heating_coarse_008,G2_heating,G2,heating,1.0,0.95,coarse,coarse,8,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_007,e8975527d79b7681340fb0d90e127c728dabb79dfd038c1256183b636249306c,True,True,True,True,31,9.030266236788113e-08,1.0669194946423621e-15,7.487154348367454e-16,8.884770931125353e-08,1.9053725080651508e-05,1.9053725080651487e-05,325.0786502589623,325.0891849607739,0.0032469204489974906,0.0,9.499999999999999e-08,1e-08,6.723531782701787e-06,0.02654686148052922,0.0521661789114228,False,not_evaluated,False,False,8,new_factorial_context_execution,False
G2_heating_coarse_009,G2_heating,G2,heating,1.0,0.975,coarse,coarse,9,True,immediately_preceding_accepted_protocol_equilibrium,G2_heating_coarse_008,570b4659229a75d9dd6dae5d4d2ab8f9b6ea3c5baf25aaba434aaa575024c79f,True,True,True,True,31,8.845305056202272e-08,5.196545519153077e-16,1.2436177310793689e-15,8.695310400989136e-08,1.955990826903827e-05,1.955990826903826e-05,325.08286446093456,325.0939664081659,0.0032538417548889005,0.0,9.499999999999999e-08,1e-08,6.921305891409869e-06,0.025878607477316753,0.05085827941820744,False,not_evaluated,False,False,9,new_factorial_context_execution,False
