state_id,alias_point_ids,protocol_id,context_id,branch_label,device_voltage_V,roles,temperature_sha256,device_thermal_capacitance_J_K,cell_thermal_capacitance_J_K,eigenvalue_count,maximum_real_eigenvalue_per_s,spectral_radius_per_s,relative_stability_margin,stability_class,positive_real_eigenvalue_count,finite,manuscript_eligible,thermal_mass_interpretation,spectrum_origin
G2_heating_coarse_000,G2_heating_coarse_000,G2_heating,G2,heating,0.75,start_endpoint,696741dbd7e2e38d697d276636b899441ae0e621693085b68ae7d4cc3c589e8b,4.96e-11,1.9840000000000002e-13,250,-4186397.924451929,413089289.8168112,-0.010134365687157929,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_heating_coarse_032,G2_heating_coarse_032,G2_heating,G2,heating,1.55,end_endpoint,48b80f57b157bd1ff73e72ee949eda0b673274178145428a15939b47e80e076b,4.96e-11,1.9840000000000002e-13,250,-4142889.469718933,413093881.1681778,-0.010028929641860975,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_heating_coarse_016,G2_heating_coarse_016,G2_heating,G2,heating,1.15,representative_mid_protocol_state,a0016a9dd48c72d5e04ddfc3e0a552549f3faea96da5e102b32a97081d73af8d,4.96e-11,1.9840000000000002e-13,250,-4168678.006239553,413091162.22724134,-0.010091423848826773,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_cooling_coarse_000,G2_cooling_coarse_000,G2_cooling,G2,cooling,1.55,start_endpoint,54227fa82fcc2f770a258c9ec3c7c5d91ecaa1f6ebbf5206108a8a5c43ac9e6a,4.96e-11,1.9840000000000002e-13,250,-4360213.595887445,413076600.7511026,-0.010555460144581443,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_cooling_coarse_032,G2_cooling_coarse_032,G2_cooling,G2,cooling,0.75,end_endpoint,b5ae4a3b87326b771be577c77c765478f924b707eaca7ef2763ee1c8899953b3,4.96e-11,1.9840000000000002e-13,250,-4077860.6431976384,413100686.0827615,-0.009871348028651472,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_cooling_coarse_016,G2_cooling_coarse_016,G2_cooling,G2,cooling,1.15,representative_mid_protocol_state,406e24f644bacfbeeed58bd5c10d10b415e847cfbaf2a7a0ce647a1e2d1dea97,4.96e-11,1.9840000000000002e-13,250,-3966527.7720490014,413083739.5333139,-0.009602236526013422,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_cooling_event_refine_02,G2_cooling_event_refine_02|G2_cooling_half_refine_01,G2_cooling,G2,cooling,1.0812499999999998,last_pre_switch|half_step_pre_switch,af2e6647781e55819ef0b969119eb539c6fafc41cf0e7be3a384d1a073f64501,4.96e-11,1.9840000000000002e-13,250,-759356.2604795309,413098490.87348247,-0.0018381966462135903,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G2_cooling_event_reachability_confirmation,G2_cooling_event_reachability_confirmation|G2_cooling_half_refine_02,G2_cooling,G2,cooling,1.078125,first_post_switch|half_step_post_switch,abc6561fe9538c9e64342f89b3ac18a97f5dc182b4c117c18943b0821a7256dd,4.96e-11,1.9840000000000002e-13,250,-3854918.638394769,413138427.16722876,-0.009330815980558469,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G3_heating_coarse_000,G3_heating_coarse_000,G3_heating,G3,heating,0.75,start_endpoint,e9a27334f943e602b2b73a5525a62940deb157f2bfa87d4bd00830ee4f3b45ce,4.96e-11,1.9840000000000002e-13,250,-4089421.5474877763,545556250.0223668,-0.007495875168362782,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
G3_heating_coarse_032,G3_heating_coarse_032,G3_heating,G3,heating,1.55,end_endpoint,3cbd583acd356b3cbf48f9e31ad091455dfa3fdd93c1d3ddd0bb078d42cf0570,4.96e-11,1.9840000000000002e-13,250,-4045192.837620755,545560432.2450033,-0.007414747475315653,stable,0,True,True,device_level_uniform_positive_time_scale_not_local_intrinsic_vo2_capacity,new_context_formal_execution
