sample_id,source_artifact,temperature_sha256,context_id,protocol_id,branch_label,ramp_direction,protocol_start_voltage_V,device_voltage_V,contact_overlap_nm,sink_amplitude,point_kind,sequence_index,split,fit_eligible,full_curve_test,headline_stability_test,stability_class,root_identifier_used
G0_heating_coarse_000,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,9b41921f880d11aa0bc0e78b949ea8346232991ae172eb13c3c0dbd4edcccc97,G0,G0_heating,heating,1.0,0.75,0.75,20.0,0.0,coarse,0,train,True,False,False,stable,False
G0_heating_coarse_001,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,aa4d8865337e9ad2f3507ecef1bea1189ecccc7a16a2dd0efb903eb4089fc5a3,G0,G0_heating,heating,1.0,0.75,0.775,20.0,0.0,coarse,1,train,True,False,False,not_evaluated,False
G0_heating_coarse_002,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,d89640897ed0bbfa9d43b4b76b593cc2d9ac46ab1bbdfb616d2ebcad43233d54,G0,G0_heating,heating,1.0,0.75,0.8,20.0,0.0,coarse,2,train,True,False,False,not_evaluated,False
G0_heating_coarse_003,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,4d9f671d4e481da62d39c19415a59b9612c44acc01149808613f295fef156fbb,G0,G0_heating,heating,1.0,0.75,0.825,20.0,0.0,coarse,3,train,True,False,False,not_evaluated,False
G0_heating_coarse_004,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,3bacc5fec32f28ac1a72d7711e6c97d4761f1e5b28239f1ef47533e9b53a9938,G0,G0_heating,heating,1.0,0.75,0.85,20.0,0.0,coarse,4,train,True,False,False,not_evaluated,False
G0_heating_coarse_005,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,6b0fecf81f035e91ffd110bee0f580a1af30b6bf3363ca3915238db0b7d42dfa,G0,G0_heating,heating,1.0,0.75,0.875,20.0,0.0,coarse,5,train,True,False,False,not_evaluated,False
G0_heating_coarse_006,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,31530cdd518b38cc28052e2a458057825b0249e1bf23744220d09b1696e46b96,G0,G0_heating,heating,1.0,0.75,0.9,20.0,0.0,coarse,6,validation,False,False,False,not_evaluated,False
G0_heating_coarse_007,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,d2c7efd8baa97299c4e6c9a3a91bda58a4e40d0a824407fac23a9bcbe3e03048,G0,G0_heating,heating,1.0,0.75,0.925,20.0,0.0,coarse,7,train,True,False,False,not_evaluated,False
G0_heating_coarse_008,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,2afdf0aae6bf4a34a3034f24668a40c9a8ec7da626c0133c8d8a4e8eadbe4993,G0,G0_heating,heating,1.0,0.75,0.95,20.0,0.0,coarse,8,train,True,False,False,stable,False
G0_heating_coarse_009,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,a1875cb54bbd2425715ff2cb25078b2fff28928abcb8900953c723b1ca5eb939,G0,G0_heating,heating,1.0,0.75,0.975,20.0,0.0,coarse,9,train,True,False,False,not_evaluated,False
