case_id,root_index,source_voltage_V,branch,resistance_variant,temperature_K,analytic_fd_relative_frobenius,eigenpair_relative_residual_max,spectral_abscissa_per_s,alpha_tau_dimensionless,robust_stability_margin,classification
Vs9_heating_S1_QS,0,9.0,heating,S1_QS,331.2130281720848,2.4576871783803904e-08,1.526098641439615e-17,-1414029.6064703332,-0.3404653809753812,0.3404653809753812,stable
Vs9_heating_S7_DYNAMIC_COMPARATOR,0,9.0,heating,S7_DYNAMIC_COMPARATOR,331.0973180521303,2.2083832416226048e-08,3.0915722826262595e-17,-1480518.6689530383,-0.35647439796150826,0.35647439796150826,stable
Vs9_cooling_S1_QS,0,9.0,cooling,S1_QS,332.3667755217527,9.983346185763705e-08,4.68895820636883e-17,5048668.563916216,1.2156017513118658,-1.2156017513118658,unstable
Vs9_cooling_S7_DYNAMIC_COMPARATOR,0,9.0,cooling,S7_DYNAMIC_COMPARATOR,332.549610082326,2.103279290002882e-08,4.7058907013757577e-17,3147851.1966131907,0.7579292201554091,-0.7579292201554091,unstable
Vs12.5_heating_S1_QS,0,12.5,heating,S1_QS,338.9549048312098,1.1639203521390195e-07,2.6081231629183802e-17,17346508.028143715,4.176634942698682,-4.176634942698682,unstable
Vs12.5_heating_S7_DYNAMIC_COMPARATOR,0,12.5,heating,S7_DYNAMIC_COMPARATOR,339.2330673405659,2.1420922321577066e-08,6.516369791346824e-17,14201105.698840039,3.4192953527304173,-3.4192953527304173,unstable
Vs12.5_cooling_S1_QS,0,12.5,cooling,S1_QS,334.25440136388124,4.860145584978431e-08,5.653414614395532e-17,5230695.791209619,1.2594296662329956,-1.2594296662329956,unstable
Vs12.5_cooling_S7_DYNAMIC_COMPARATOR,0,12.5,cooling,S7_DYNAMIC_COMPARATOR,334.9448205335781,3.3559152294567465e-08,2.797913143274877e-17,2531380.3871432524,0.6094974136034239,-0.6094974136034239,unstable
Vs15.8_heating_S1_QS,0,15.8,heating,S1_QS,340.60970421232565,6.765656735689785e-08,8.393931201959218e-17,18478003.34577374,4.449072650244552,-4.449072650244552,unstable
Vs15.8_heating_S7_DYNAMIC_COMPARATOR,0,15.8,heating,S7_DYNAMIC_COMPARATOR,341.3464167258973,4.07288815324464e-08,2.2988914577712434e-17,6591830.129475817,1.587159099135925,-1.587159099135925,unstable
Vs15.8_cooling_S1_QS,0,15.8,cooling,S1_QS,335.3566117870321,1.5598931610895197e-08,4.207384959591937e-17,4960869.076726574,1.1944616806098938,-1.1944616806098938,unstable
Vs15.8_cooling_S7_DYNAMIC_COMPARATOR,0,15.8,cooling,S7_DYNAMIC_COMPARATOR,336.83058260519147,1.240654686662195e-08,2.0787051465437536e-17,10062.003782456624,0.0024226960563584884,-0.0024226960563584884,unstable
Vs17_heating_S1_QS,0,17.0,heating,S1_QS,341.0229223802591,5.280422691482977e-08,5.404562033796761e-17,17389012.025806032,4.186868914951356,-4.186868914951356,unstable
Vs17_heating_S7_DYNAMIC_COMPARATOR,0,17.0,heating,S7_DYNAMIC_COMPARATOR,341.9735280636577,3.9689309143590105e-08,5.765059295500938e-17,5478651.485409308,1.3191316197878724,-1.3191316197878724,unstable
Vs17_cooling_S1_QS,0,17.0,cooling,S1_QS,335.69175033768784,6.683270179480471e-09,2.484121848783438e-17,4670079.147011683,1.1244462412222307,-1.1244462412222307,unstable
Vs17_cooling_S7_DYNAMIC_COMPARATOR,0,17.0,cooling,S7_DYNAMIC_COMPARATOR,337.59188702227266,2.9008519483697773e-09,3.7675430976054375e-17,-1081656.5853004735,-0.26043770209176453,0.26043770209176453,stable
