case_id,stationary_index,source_voltage_V,branch,resistance_variant,temperature_K
Vs12.5_cooling_S1_QS,0,12.5,cooling,S1_QS,326.9425231639739
Vs12.5_cooling_S1_QS,1,12.5,cooling,S1_QS,329.66301348838977
Vs12.5_cooling_S7_DYNAMIC_COMPARATOR,0,12.5,cooling,S7_DYNAMIC_COMPARATOR,327.0371611438121
Vs12.5_cooling_S7_DYNAMIC_COMPARATOR,1,12.5,cooling,S7_DYNAMIC_COMPARATOR,329.7870166676247
Vs15.8_heating_S1_QS,0,15.8,heating,S1_QS,332.63349188898565
Vs15.8_heating_S1_QS,1,15.8,heating,S1_QS,336.14330919891034
Vs15.8_heating_S7_DYNAMIC_COMPARATOR,0,15.8,heating,S7_DYNAMIC_COMPARATOR,332.72152705576855
Vs15.8_heating_S7_DYNAMIC_COMPARATOR,1,15.8,heating,S7_DYNAMIC_COMPARATOR,336.34959247126056
Vs15.8_cooling_S1_QS,0,15.8,cooling,S1_QS,325.0085540266457
Vs15.8_cooling_S1_QS,1,15.8,cooling,S1_QS,330.2066826880178
Vs15.8_cooling_S7_DYNAMIC_COMPARATOR,0,15.8,cooling,S7_DYNAMIC_COMPARATOR,325.1055592522461
Vs15.8_cooling_S7_DYNAMIC_COMPARATOR,1,15.8,cooling,S7_DYNAMIC_COMPARATOR,330.3698740363624
Vs17_heating_S1_QS,0,17.0,heating,S1_QS,331.88761169326625
Vs17_heating_S1_QS,1,17.0,heating,S1_QS,336.3258773660607
Vs17_heating_S7_DYNAMIC_COMPARATOR,0,17.0,heating,S7_DYNAMIC_COMPARATOR,331.99081297036867
Vs17_heating_S7_DYNAMIC_COMPARATOR,1,17.0,heating,S7_DYNAMIC_COMPARATOR,336.53692726974856
Vs17_cooling_S1_QS,0,17.0,cooling,S1_QS,330.30248059732526
Vs17_cooling_S7_DYNAMIC_COMPARATOR,0,17.0,cooling,S7_DYNAMIC_COMPARATOR,330.4738381886089
