observation_protocol,geometry,noise,observation_count,seed,true_lateral_coupling,estimated_lateral_coupling,true_amplitude,estimated_amplitude,relative_error,success,objective_value,finite_result
terminal_only_sparse,uniform_strip,0.0,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030101581810845,True
terminal_only_sparse,uniform_strip,0.0,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030107145995827354,True
terminal_only_sparse,uniform_strip,0.0,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030078120433093067,True
terminal_only_sparse,uniform_strip,0.0,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003008361380721709,True
terminal_only_sparse,uniform_strip,0.0,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003007579457216917,True
terminal_only_sparse,uniform_strip,0.0,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030108624316650326,True
terminal_only_sparse,uniform_strip,0.0,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003011473440357025,True
terminal_only_sparse,uniform_strip,0.0,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003008365811006344,True
terminal_only_sparse,uniform_strip,0.0,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003008951236950871,True
terminal_only_sparse,uniform_strip,0.0,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003008116014018881,True
terminal_only_sparse,uniform_strip,0.0,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030110497715901165,True
terminal_only_sparse,uniform_strip,0.0,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030117331224757893,True
terminal_only_sparse,uniform_strip,0.0,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003008502984261228,True
terminal_only_sparse,uniform_strip,0.0,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003009105132950621,True
terminal_only_sparse,uniform_strip,0.0,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00030082733527328774,True
terminal_only_sparse,uniform_strip,0.02,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00045375919599485704,True
terminal_only_sparse,uniform_strip,0.02,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0007237750318622635,True
terminal_only_sparse,uniform_strip,0.02,8,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00044883150536673036,True
terminal_only_sparse,uniform_strip,0.02,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005384920679702386,True
terminal_only_sparse,uniform_strip,0.02,8,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00047674763407186817,True
terminal_only_sparse,uniform_strip,0.02,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005676169549972887,True
terminal_only_sparse,uniform_strip,0.02,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006410360525105927,True
terminal_only_sparse,uniform_strip,0.02,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006821347087976662,True
terminal_only_sparse,uniform_strip,0.02,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005238368172222935,True
terminal_only_sparse,uniform_strip,0.02,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0004467121250978888,True
terminal_only_sparse,uniform_strip,0.02,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006729845669286289,True
terminal_only_sparse,uniform_strip,0.02,32,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005826592112415307,True
terminal_only_sparse,uniform_strip,0.02,32,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006991471369240562,True
terminal_only_sparse,uniform_strip,0.02,32,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0006789333389095812,True
terminal_only_sparse,uniform_strip,0.02,32,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0005362174753440806,True
terminal_only_sparse,uniform_strip,0.05,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.004561946512484824,True
terminal_only_sparse,uniform_strip,0.05,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002479390373965358,True
