path,base_path,file_type,size_bytes,sha256,last_git_commit,referenced_by_other_files,reference_count,reference_check,route,lifecycle,frozen_evidence,unique_information,disposition,disposition_reason,replacement,recoverable_from_git
.codex/README.md,,md,1898,102923AB67CB36B89375B92B3BF5612259224C51C8D68BBFE631BEAC16649E7B,44dac1a5414f6a5eb84f9d8f2db2314d5d3a9f8a,yes,1,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
.codex/config.toml,,toml,778,8B02758F97C44B2957D2986515C02B82278338C187448C27AEB2325C5BB14846,44dac1a5414f6a5eb84f9d8f2db2314d5d3a9f8a,yes,1,unique_basename_fallback,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
.codex/rules/project_safety.rules,,rules,3793,3C8E52C8DBDF08213351F4E110CD4987D9ACD8F14E6059934567E6D162AF65BA,44dac1a5414f6a5eb84f9d8f2db2314d5d3a9f8a,yes,2,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
.gitattributes,,no_extension,330,B617130B533208F6CB81B1D209384B2E78D48BA2F5336652CF8797F5FDC4EB11,UNCOMMITTED_PHASE0,yes,2,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",,after_commit
.github/workflows/full_validation.yml,,yml,1648,B6C3176E2D5C4DC682C1F2BA077519A22BAAC199F9DEF9A11CCFB53656147C95,0dc103f391d1206fe02c100987ecab68ed1d741d,yes,3,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
.github/workflows/read_only_validation.yml,,yml,2703,5DEBF75679BEADE397CCF48656BA9CC907A91455B67975AC47FF83FA57D99D62,b17945a0be511c0974acd24ef27e05b8790adc30,yes,10,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",,yes
.gitignore,,no_extension,18506,B90EA2836AD18778DD02B69A36C166586AC681F0C4A5370AF431E5C68A62B447,1b87c67387affddae85ac73a4de51abe42883b50,yes,43,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
.python-version,,no_extension,5,49A506DD32096B010D75205ACF3430C9AE6C40351888129499E5A5E487126C93,b876e19c7f689ad9673feafea87b40494228f282,no,0,exact_path_and_unique_basename_checked,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
AGENTS.md,,md,7708,56109552D317F7D8FA954980C9AE9271CA36FEF38911A25FAC54879425348107,36cbc020869ca483ed1e84eb0326cee11618891c,yes,64,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",AGENTS.md,yes
CODEX_CONTEXT.md,,md,2276,6E69A64C8806DCAA23D1B8ED675FC87174C9D0C2033027FB8B18B63D9DFF3A3C,36cbc020869ca483ed1e84eb0326cee11618891c,yes,62,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",CODEX_CONTEXT.md,yes
DATASET_REGISTRY.md,,md,25750,BCF965B6E3B906B79DF559A8B90E441BBA6ECBB905E1C4D26912232BDE204791,76970488118612f6ccf9c3cbf6cb17946ca0d999,yes,37,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",,yes
EXPERIMENT_REGISTRY.md,,md,56963,148CB7A829E767B21BA6E586B227A8337622C8B64A84344E4EBBE12578B65AFD,36cbc020869ca483ed1e84eb0326cee11618891c,yes,34,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",,yes
FIGURE_REGISTRY.md,,md,22833,0FAFFE67AB9C8782C65808AD3D2FBA05D77ABC7DAC3112EDA9802A2512F96C4B,637980d61bbee9708532d6a79ca0f6adb095323a,yes,31,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",,yes
NEXT_ACTIONS.md,,md,2518,46239E2ECD0B9DB2CA446101D0637DF4C07730A1C875FE754116392D4090D84D,36cbc020869ca483ed1e84eb0326cee11618891c,yes,67,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",NEXT_ACTIONS.md,yes
PROJECT_GOAL.md,,md,7144,52130BDF40DD8ED68FBCA2A9344CEA21B8CCF712F9E21C725F0B67C44E5EAD13,36cbc020869ca483ed1e84eb0326cee11618891c,yes,29,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",PROJECT_GOAL.md,yes
PROJECT_STATE.md,,md,3684,ECCFA7AEDBBDBF1168D15D868BADE40235043FB65D6A9D7865A30565861B3862,36cbc020869ca483ed1e84eb0326cee11618891c,yes,72,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",PROJECT_STATE.md,yes
README.md,,md,3674,A3563E3FF89CF7C44FC30FD198F9D21284DCF54445D506DA62262E146E9DBA13,36cbc020869ca483ed1e84eb0326cee11618891c,yes,43,exact_repository_path,current_governance,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",README.md,yes
RESEARCH_LOG.md,,md,53916,2DBDD0D4BE11C18595825D2CB3DCDD2801EED2925E3EA0ECBA0BAD63E4710B14,36cbc020869ca483ed1e84eb0326cee11618891c,yes,26,exact_repository_path,shared_repository,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/active_protocol_design_v3.yaml,,yaml,642,8B9B6CE47FE2062B171F40D0779650AC7CCE15C814DEE7BE361410FFE673FFAB,d23a576b2d8bb17a1d1f72a0cf81cc457d42e048,yes,1,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/cv_multidomain_oasis_v10.yaml,,yaml,828,006BEA90F3459ACCE1C33E99CD4163E97ECF67936EE44400DDC7F014B609FEC7,f14c0680dd7a8a0f5c2fe1738587edbb4502eafd,yes,1,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/e1f_qiu_author_external_anchor.yaml,,yaml,6761,7C049E98A6FA3FB184378379CB98FAE7724C05E736F8BC5307E2C2DC9D5A4941,783f41ec2ddd01f055ac34e6424c403082132fdc,yes,11,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/e1fr_qiu_source_equation_correction.yaml,,yaml,4294,BBC34A9B573EE9B2EEEC9016FB7B6B0094180773572F3B904EA3A58E4DB57501,3792eb8d77cb1acab8644ea4a4a0a2a4d4552b2b,yes,7,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/f_sps_balanced_medium_budget_benchmark.yaml,,yaml,2040,876DB72A5DADB33BF9D11ED09B79D603A0ADE1E464028199733AEC82754C0207,8f160a9c4c23256b5f978710bb63dcb739c78447,yes,5,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/f_sps_medium_budget_benchmark.yaml,,yaml,2099,C4FFD6FFE68E3D8F659581A2F425028A4C3D6973E6AD25A6A35047210FB05862,1f4207764fd09860d6ed50935a7f31389ba33837,yes,5,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/full_pinn_architecture_v1.yaml,,yaml,2612,BBA90AE2D84A3E056AEE3241647C9382AAC351C489D52A71F0AC0739E7B5DA66,583cb441687001c7df9a8ee9d4d5cf45258f8efb,yes,9,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/full_pinn_n0_cv_e_v3.yaml,,yaml,9490,411BFC4BA7FC1A928AA0D6BAB5C4C6915DFC68F487866C668D343E674FE3811C,b3800fd55dc1e2fd08ca802efc73d0e0bc7fab7a,yes,14,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/full_pinn_n0_repair_v2.yaml,,yaml,5654,864B9B4405E801DFE6F352282BFD3554029C3BC814AFE6F0BB83C9A8B3119A7C,e3f5765801991ebd1006dc762f8804a48e2d7a5a,yes,8,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_auxiliary_observability_sweep.yaml,,yaml,1325,6E433B830F3E5C5FABBFB69EB52BBBB1FDF5BAB4E709986CC5B053E04EAB7292,a8ceba65cc88fee76e1c26630835dedaea1bee6d,yes,3,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_calibrated_protocol_robustness_final.yaml,,yaml,2046,433F9AC25BBA75FCA963A293E04FE6C45B22BBB106F39631B44C1FE326B25475,19988e0d60a53a15b2ab27b43b82ca226a6da3e8,yes,3,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_calibrated_sequential_protocol_validation.yaml,,yaml,2616,CBA5D88067728E41D1F96405DAC72434245F457EB99D4C31F277DCFA4611805E,922a9a624401f955553db3e17e0bd9b127fb273b,yes,8,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_calibration_protocol_cost_frontier.yaml,,yaml,8111,03EBCF1C94C3C6C626D85E5267666BFAFF22C51AC63D9C15D1CF03ED854C2624,3cd714cb91bd2c700881584391f3b9ab66027b3c,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_calibration_protocol_disentanglement.yaml,,yaml,988,AB9F3E15DB6F1F0EF5EE8300F13FA764DC8B50BC3A4FE6731393D025B5A5B8EC,19988e0d60a53a15b2ab27b43b82ca226a6da3e8,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_ceba_v1.yaml,,yaml,4702,20BD298AEF3276E1D537FFAE73966B25684CAC3C080A1E549D9D2388E3E00BC5,306f5c9fdc720c71cad18b7ab322d4d0ae73d938,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
