method,geometry,transition_width,noise,seed,chi,chi_c,selected_branch,relative_error,gain_over_vanilla,smooth_degradation,sharp_regime,finite_result,success,initial_loss,final_loss,training_mode,is_actual_pinn_training,claim_status,allowed_claim,forbidden_claim
vanilla_mlp,uniform_strip,0.2,0.0,2026,1.25,2.0,vanilla_mlp,1.1140602827072144,0.0,0.0,False,True,False,2.566474199295044,0.3425460755825043,actual_autograd_reduced_pinn_training,True,baseline,matched vanilla actual-training baseline,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2026,1.25,2.0,f_sps_sampling,0.9947900176048279,0.10705907656321309,0.0,False,True,False,0.5618669986724854,0.11644330620765686,actual_autograd_reduced_pinn_training,True,failed_but_informative,"method effect is comparator evidence, not a superiority claim",universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2026,1.25,2.0,fourier_plus_continuation_asinh,1.2201138734817505,-0.09519555846369583,0.09519555846369587,False,True,False,13.827070236206055,6.084230422973633,actual_autograd_reduced_pinn_training,True,failed_but_informative,"method effect is comparator evidence, not a superiority claim",universal F-SPS/Fourier superiority
stiffness_gated_hybrid,uniform_strip,0.2,0.0,2026,1.25,2.0,smooth_vanilla_no_fourier,1.087148666381836,0.02415633762652595,0.0,False,True,False,2.8374953269958496,0.37518325448036194,actual_autograd_reduced_pinn_training,True,qualified_supported,stiffness-gated hybrid is condition-limited and only valid if sharp gain and smooth negative-control gates clear,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.0,2027,1.25,2.0,vanilla_mlp,1.0653111934661865,0.0,0.0,False,True,False,0.8263342976570129,0.14594268798828125,actual_autograd_reduced_pinn_training,True,baseline,matched vanilla actual-training baseline,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.0,2027,1.25,2.0,f_sps_sampling,1.4369964599609375,-0.3488983019932461,0.3488983019932461,False,True,False,2.820268392562866,0.3741565942764282,actual_autograd_reduced_pinn_training,True,failed_but_informative,"method effect is comparator evidence, not a superiority claim",universal F-SPS/Fourier superiority
fourier_plus_continuation_asinh,uniform_strip,0.2,0.0,2027,1.25,2.0,fourier_plus_continuation_asinh,1.162278413772583,-0.09102243635579924,0.09102243635579921,False,True,False,11.062803268432617,5.049617290496826,actual_autograd_reduced_pinn_training,True,failed_but_informative,"method effect is comparator evidence, not a superiority claim",universal F-SPS/Fourier superiority
stiffness_gated_hybrid,uniform_strip,0.2,0.0,2027,1.25,2.0,smooth_vanilla_no_fourier,1.0383833646774292,0.0252769603416469,0.0,False,True,False,1.8877218961715698,0.3220188617706299,actual_autograd_reduced_pinn_training,True,qualified_supported,stiffness-gated hybrid is condition-limited and only valid if sharp gain and smooth negative-control gates clear,universal F-SPS/Fourier superiority
vanilla_mlp,uniform_strip,0.2,0.02,2026,1.25,2.0,vanilla_mlp,1.114016056060791,0.0,0.0,False,True,False,2.566474199295044,0.3425452411174774,actual_autograd_reduced_pinn_training,True,baseline,matched vanilla actual-training baseline,universal F-SPS/Fourier superiority
f_sps_sampling,uniform_strip,0.2,0.02,2026,1.25,2.0,f_sps_sampling,0.9947377443313599,0.10707054990859326,0.0,False,True,False,0.5618671178817749,0.11644255369901657,actual_autograd_reduced_pinn_training,True,failed_but_informative,"method effect is comparator evidence, not a superiority claim",universal F-SPS/Fourier superiority
