protocol,noise,seed,parameter_median_error,max_parameter_error,success,objective_value,condition_number,sensitivity_norm,finite_result,claim_status,is_simulator_backed,legacy_feature_matrix_only
single_pulse,0.0,2026,0.16643512086690743,0.3157894736842105,False,1.6780902738295184e-28,1.0,2.86330074918127e-13,True,failed_but_informative,True,False
single_pulse,0.0,2027,0.16643512086690743,0.3157894736842105,False,1.7378887478056468e-28,1.0,2.8943090515884303e-13,True,failed_but_informative,True,False
single_pulse,0.02,2026,0.16643512086690743,0.3157894736842105,False,32306920.826390643,1.0,2.86330074918127e-13,True,failed_but_informative,True,False
single_pulse,0.02,2027,0.16643512086690743,0.3157894736842105,False,19805866.139489982,1.0,2.8943090515884303e-13,True,failed_but_informative,True,False
single_pulse,0.05,2026,0.16643512086690743,0.3157894736842105,False,201918255.16494042,1.0,2.86330074918127e-13,True,failed_but_informative,True,False
single_pulse,0.05,2027,0.16643512086690743,0.3157894736842105,False,123786663.37181248,1.0,2.8943090515884303e-13,True,failed_but_informative,True,False
multi_amplitude,0.0,2026,0.16643512086690743,0.3157894736842105,False,1.7112646922544377e-28,1.0,4.973401077307686e-13,True,failed_but_informative,True,False
multi_amplitude,0.0,2027,0.16643512086690743,0.3157894736842105,False,1.695581386162544e-28,1.0,4.962100015115323e-13,True,failed_but_informative,True,False
multi_amplitude,0.02,2026,0.16643512086690743,0.3157894736842105,False,30340767.23264567,1.0,4.973401077307686e-13,True,failed_but_informative,True,False
multi_amplitude,0.02,2027,0.16643512086690743,0.3157894736842105,False,14530930.387657294,1.0,4.962100015115323e-13,True,failed_but_informative,True,False
multi_amplitude,0.05,2026,0.16643512086690743,0.3157894736842105,False,189629795.20403543,1.0,4.973401077307686e-13,True,failed_but_informative,True,False
multi_amplitude,0.05,2027,0.16643512086690743,0.3157894736842105,False,90818314.9228581,1.0,4.962100015115323e-13,True,failed_but_informative,True,False
multi_width,0.0,2026,0.16643512086690743,0.3157894736842105,False,1.692012729686544e-28,1.0,4.93460258368043e-13,True,failed_but_informative,True,False
multi_width,0.0,2027,0.16643512086690743,0.3157894736842105,False,1.6781607078389132e-28,1.0,4.885888011475476e-13,True,failed_but_informative,True,False
multi_width,0.02,2026,0.16643512086690743,0.3157894736842105,False,20182418.635602325,1.0,4.93460258368043e-13,True,failed_but_informative,True,False
multi_width,0.02,2027,0.16643512086690743,0.3157894736842105,False,20988723.137782853,1.0,4.885888011475476e-13,True,failed_but_informative,True,False
multi_width,0.05,2026,0.16643512086690743,0.3157894736842105,False,126140116.47251458,1.0,4.93460258368043e-13,True,failed_but_informative,True,False
multi_width,0.05,2027,0.16643512086690743,0.3157894736842105,False,131179519.61114281,1.0,4.885888011475476e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.0,2026,0.16643512086690743,0.3157894736842105,False,1.7564833262858564e-28,1.0,2.9117239237584063e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.0,2027,0.16643512086690743,0.3157894736842105,False,1.7471156030363569e-28,1.0,2.893277467385235e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.02,2026,0.16643512086690743,0.3157894736842105,False,9764034.72472796,1.0,2.9117239237584063e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.02,2027,0.16643512086690743,0.3157894736842105,False,17275484.266404647,1.0,2.893277467385235e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.05,2026,0.16643512086690743,0.3157894736842105,False,61025217.02954968,1.0,2.9117239237584063e-13,True,failed_but_informative,True,False
hysteresis_minor_loop,0.05,2027,0.16643512086690743,0.3157894736842105,False,107971776.66502927,1.0,2.893277467385235e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.0,2026,0.16643512086690743,0.3157894736842105,False,2.828207213236117e-28,1.0,3.6829515344794944e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.0,2027,0.16643512086690743,0.3157894736842105,False,2.880610116225798e-28,1.0,3.713909675222662e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.02,2026,0.16643512086690743,0.3157894736842105,False,2662642.2824431746,1.0,3.6829515344794944e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.02,2027,0.16643512086690743,0.3157894736842105,False,1295681.505304568,1.0,3.713909675222662e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.05,2026,0.16643512086690743,0.3157894736842105,False,16641514.265269866,1.0,3.6829515344794944e-13,True,failed_but_informative,True,False
oscillation_frequency_readout,0.05,2027,0.16643512086690743,0.3157894736842105,False,8098009.408153541,1.0,3.713909675222662e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.0,2026,0.16643512086690743,0.3157894736842105,False,1.8077358071220907e-28,1.0,8.879409476779358e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.0,2027,0.16643512086690743,0.3157894736842105,False,1.8246008393716072e-28,1.0,8.901213532666443e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.02,2026,0.16643512086690743,0.3157894736842105,False,14740351.557832673,1.0,8.879409476779358e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.02,2027,0.16643512086690743,0.3157894736842105,False,17033297.66895296,1.0,8.901213532666443e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.05,2026,0.16643512086690743,0.3157894736842105,False,92127197.2364542,1.0,8.879409476779358e-13,True,failed_but_informative,True,False
combined_terminal_protocol,0.05,2027,0.16643512086690743,0.3157894736842105,False,106458110.43095598,1.0,8.901213532666443e-13,True,failed_but_informative,True,False
